HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned
10,0,17,1,8,3,7,0,1,10,0,7,54,14,1
10,0,17,0,15,7,7,13,1,10,0,5,4,18,0
8,0,72,0,20,5,37,21,1,10,0,5,0,44,1
11,0,22,0,4,7,7,42,1,6,18,8,0,29,1
11,0,38,1,8,9,7,21,1,6,0,5,0,14,1
10,0,17,1,3,4,7,21,1,4,0,1,0,37,1
4,0,27,0,4,4,7,27,1,4,3,1,0,14,1
11,0,67,0,11,6,7,38,1,6,20,8,0,45,1
5,0,32,0,22,10,7,21,1,2,18,5,0,37,1
4,1,23,0,2,8,7,21,1,9,0,7,0,48,1
11,0,11,0,2,3,3,38,1,9,0,2,0,48,1
11,0,22,0,22,6,7,0,1,5,0,8,0,14,1
12,0,72,0,7,5,37,15,1,6,20,8,0,6,1
2,1,34,0,4,6,18,21,1,3,0,1,0,18,1
17,1,27,0,9,2,30,42,1,6,7,6,0,46,1
8,0,64,0,2,2,34,42,1,4,0,1,0,6,1
15,0,17,1,19,6,7,15,1,6,0,2,0,27,1
14,0,35,1,15,6,7,26,1,8,0,8,0,14,1
17,1,32,0,50,8,7,32,0,7,0,4,0,9,1
5,0,27,0,14,5,30,1,1,3,18,8,0,46,1
11,0,27,0,24,9,30,1,1,2,18,2,0,37,1
8,0,17,1,11,9,7,26,1,13,0,5,0,14,0
3,0,17,0,3,2,7,1,1,1,0,5,0,37,0
16,0,33,0,20,7,7,37,1,8,20,5,0,46,0
2,0,27,0,20,4,7,1,1,2,18,1,0,37,1
2,0,27,0,17,5,30,1,1,6,18,3,0,46,1
11,0,67,0,7,2,36,21,1,8,0,2,0,14,1
17,0,67,0,9,6,7,45,1,1,18,0,0,37,1
0,1,27,0,16,2,30,45,1,2,20,0,0,37,1
8,0,17,1,22,7,7,17,1,4,14,4,0,37,1
3,0,47,0,20,10,7,22,1,6,20,1,0,43,0
17,1,27,0,5,0,30,1,1,4,0,0,0,9,1
8,1,17,0,2,3,7,11,1,4,18,7,0,9,1
8,1,5,0,1,2,7,11,1,4,18,7,0,14,1
8,1,23,0,6,11,7,11,1,8,20,5,0,9,1
0,1,27,1,12,4,7,17,1,2,18,0,0,37,1
2,0,64,0,26,9,7,20,1,6,0,4,0,18,1
8,0,27,0,14,8,30,12,1,1,18,1,0,37,1
5,0,27,0,20,7,7,12,1,6,0,1,3,27,1
3,0,27,1,23,4,7,18,1,2,18,1,0,37,1
3,0,27,0,4,7,7,22,1,4,20,5,0,9,1
8,1,55,1,14,3,7,45,1,7,20,0,0,9,1
17,1,27,0,1,2,30,22,1,7,14,0,0,9,1
4,0,27,0,13,11,30,22,1,7,0,7,0,14,1
1,0,27,1,24,8,30,1,1,2,18,7,0,37,1
17,1,27,0,1,0,7,45,1,2,18,0,0,10,0
3,0,67,0,25,8,36,45,1,2,18,5,0,37,1
1,1,27,0,4,3,7,1,1,1,18,5,0,37,1
17,1,27,0,6,8,30,45,1,8,0,0,0,9,1
17,1,27,0,2,1,7,45,1,2,18,0,0,47,1
3,0,27,0,10,5,30,45,1,2,18,0,0,47,1
6,0,27,0,2,6,7,9,2,2,18,1,0,37,1
8,1,17,1,4,2,7,17,1,1,18,1,0,37,1
8,0,67,0,8,8,7,9,2,2,18,1,0,37,1
17,1,72,0,20,11,37,22,1,7,20,4,0,46,0
17,0,50,0,16,11,24,22,1,4,0,0,0,14,1
17,1,27,0,12,10,30,22,1,1,18,3,0,37,1
3,1,27,0,1,8,7,45,1,4,19,0,0,14,1
6,0,23,0,1,2,7,45,1,2,18,3,0,37,1
2,0,51,0,2,0,7,45,1,6,0,1,0,46,1
15,0,15,0,38,10,7,11,1,12,0,5,0,46,0
2,0,27,0,11,5,30,45,1,2,20,1,0,37,1
5,1,22,0,2,7,7,20,1,8,0,7,0,47,1
0,0,27,1,15,6,30,45,1,2,18,5,0,37,1
7,0,17,0,18,10,7,12,1,8,0,5,0,43,1
7,0,17,0,37,11,7,1,1,7,18,4,1,46,1
9,0,68,0,2,6,7,3,1,2,0,8,0,0,1
17,1,27,0,9,7,7,45,1,2,18,0,0,37,1
17,0,55,0,22,11,7,18,1,9,0,4,0,14,1
9,0,11,0,17,6,7,53,1,8,0,1,0,29,1
3,0,67,0,8,5,36,18,1,4,20,7,0,9,1
10,0,27,1,18,5,7,54,0,4,18,2,0,44,1
4,0,34,0,12,5,7,54,0,1,18,1,0,37,1
6,0,55,0,23,7,7,16,1,7,20,1,0,48,0
8,0,20,0,29,11,7,20,1,3,18,5,0,18,1
6,0,17,0,38,11,7,20,1,6,7,4,0,14,1
2,0,27,1,17,6,30,45,1,4,18,7,0,14,1
5,0,27,0,20,8,30,1,1,1,18,5,0,37,1
0,0,55,0,4,5,7,11,1,2,18,5,0,37,0
0,1,32,0,1,1,7,9,2,2,18,7,0,37,1
8,0,22,0,7,5,7,1,1,5,0,2,8,14,0
17,1,27,0,15,8,30,45,1,1,18,0,0,37,1
10,0,20,0,9,5,7,21,1,4,0,7,0,44,1
9,0,34,1,38,10,18,18,1,7,20,1,0,10,0
5,1,67,0,5,1,7,20,1,1,18,7,0,6,1
0,0,27,0,30,10,7,45,1,8,0,7,0,14,1
1,1,22,0,2,3,7,45,1,4,20,7,0,9,1
17,1,27,0,1,4,30,45,1,6,0,0,0,37,1
17,0,17,0,20,11,7,1,1,1,18,0,0,37,0
17,1,27,0,1,1,30,17,1,4,18,0,0,37,1
2,1,32,1,1,3,7,42,1,8,0,8,0,47,1
1,0,35,0,1,2,7,45,1,3,10,5,0,46,1
0,0,51,0,19,10,7,53,1,2,0,4,0,37,0
8,0,17,0,24,7,7,16,1,4,18,4,0,14,1
8,0,23,0,32,11,7,16,1,12,0,4,0,14,0
8,0,27,0,1,9,30,41,1,4,0,8,0,9,1
6,0,27,0,13,5,30,45,1,1,18,4,0,37,1
12,0,17,1,2,3,7,9,2,2,18,8,0,37,1
8,0,32,0,3,5,7,26,1,6,20,8,0,46,1
10,0,27,0,23,10,30,41,1,2,18,4,0,37,1
0,1,27,0,11,5,30,1,1,6,0,0,0,47,1
0,1,17,0,1,0,7,1,1,3,20,7,0,20,1
1,1,27,0,5,5,30,1,1,2,18,7,0,10,0
7,0,27,1,22,7,30,4,1,1,18,5,0,37,1
10,0,17,0,5,4,7,20,1,12,0,7,2,27,1
12,0,17,0,13,8,7,52,1,2,0,5,0,14,1
7,0,11,1,3,4,7,16,1,2,20,1,0,37,1
6,0,27,0,12,5,7,18,1,6,18,1,0,14,1
0,0,67,0,21,10,36,53,1,2,18,5,0,37,1
2,0,67,0,3,2,36,1,1,1,18,8,0,6,1
15,0,55,0,22,8,7,20,1,10,0,5,2,14,1
14,0,17,0,23,9,7,45,1,13,0,8,0,48,1
10,0,7,0,10,7,7,11,1,2,18,1,0,37,1
2,0,38,1,31,9,7,45,1,8,0,1,0,18,0
0,0,27,0,27,11,30,45,1,8,0,7,0,9,1
6,0,33,0,31,11,7,20,1,3,20,5,0,27,0
10,0,33,0,1,7,7,41,1,1,18,2,0,37,1
9,0,50,0,7,2,7,21,1,6,3,7,0,29,1
6,0,27,0,19,4,7,45,1,8,0,0,0,46,1
17,0,27,0,20,11,30,41,1,7,20,4,0,37,1
17,0,17,0,18,11,7,40,1,7,14,8,0,46,1
16,0,55,1,20,4,7,1,1,6,20,8,0,44,1
7,0,11,0,7,5,3,40,1,8,0,4,0,46,1
5,1,72,0,2,7,37,0,1,6,18,5,0,14,1
17,1,33,0,6,2,17,45,1,2,0,0,0,9,0
7,0,17,0,5,2,7,20,1,6,18,7,0,9,1
1,0,17,0,1,5,7,45,1,4,18,4,0,46,1
17,1,27,0,8,1,30,45,1,8,0,0,0,9,1
8,0,17,0,1,2,7,1,1,6,0,8,0,14,1
17,1,17,0,6,4,7,9,2,1,18,6,0,37,1
6,0,15,0,1,5,7,18,1,8,0,4,0,14,1
7,0,27,1,17,4,30,1,1,2,18,1,0,37,1
8,0,17,0,20,7,7,52,1,1,18,5,0,37,1
8,0,50,0,41,10,24,20,1,5,0,5,5,14,0
8,0,72,0,48,11,37,18,1,11,0,5,0,14,0
10,0,17,0,37,9,7,18,1,7,18,5,0,14,0
2,0,67,0,6,6,7,18,1,7,20,1,0,10,0
17,1,17,0,1,0,7,21,1,2,18,8,0,37,1
2,0,27,1,17,7,30,22,1,6,20,4,0,47,1
2,0,67,0,5,6,36,18,1,7,20,0,0,10,0
9,0,17,0,31,9,7,40,1,5,0,1,0,14,0
11,0,17,0,55,11,7,17,1,9,0,4,0,18,0
2,0,10,0,10,6,27,1,1,6,20,1,0,47,1
3,0,35,0,7,3,7,17,1,8,0,5,0,9,1
17,0,67,0,10,10,36,18,1,1,18,0,0,37,1
14,0,32,1,20,6,7,20,1,7,0,5,3,40,0
17,0,67,0,10,5,36,53,1,1,18,4,0,37,1
2,0,27,0,10,5,30,45,1,6,21,0,0,46,1
6,0,72,0,5,2,37,17,1,4,20,4,0,46,1
17,1,22,0,9,4,7,9,2,1,18,0,0,37,1
0,0,27,1,21,4,30,45,1,2,18,0,0,37,0
2,1,11,0,1,2,7,16,1,8,0,7,0,9,1
2,0,68,0,7,1,7,40,1,4,18,1,0,14,1
7,0,27,0,7,5,7,9,2,2,18,0,0,37,1
1,1,27,0,15,5,30,45,1,2,18,0,0,37,1
9,0,13,1,17,6,7,26,1,4,18,2,0,14,0
1,0,27,1,17,5,30,9,2,2,18,0,0,37,1
17,1,27,0,6,2,7,1,1,4,14,0,0,9,1
9,0,27,1,12,4,30,45,1,1,18,0,0,29,1
0,1,27,0,6,1,30,54,0,7,0,0,0,9,1
4,0,17,1,27,10,7,20,1,8,2,5,0,46,1
2,0,27,1,6,10,30,18,1,2,18,7,0,37,1
2,0,67,0,17,7,36,18,1,4,10,4,0,9,1
5,0,63,1,22,7,7,1,1,7,20,1,0,9,1
1,0,27,1,15,2,30,1,1,4,18,1,0,46,1
5,0,38,0,15,8,7,17,1,7,20,4,0,10,1
0,1,51,0,10,0,25,45,1,4,0,0,0,6,1
17,0,27,1,20,8,30,45,1,2,18,0,0,37,1
9,0,27,1,21,6,7,18,1,3,18,1,0,46,1
4,1,23,0,1,2,7,45,1,7,6,1,0,47,1
8,0,20,0,14,8,7,1,1,2,18,2,0,37,1
10,0,55,1,12,11,7,26,1,4,14,8,0,9,1
15,0,55,0,38,10,7,45,1,3,2,5,0,14,1
9,0,27,0,18,6,7,12,1,9,0,3,0,14,1
17,0,27,0,27,6,30,45,1,4,18,0,0,37,1
10,0,67,0,18,7,36,53,1,1,20,5,0,6,1
1,1,27,0,1,2,30,1,1,10,0,1,0,46,0
0,1,17,0,10,4,7,32,0,2,18,7,0,37,1
17,0,17,1,7,3,7,17,1,6,0,5,0,6,1
7,0,17,0,22,7,7,18,1,7,0,4,0,37,1
4,0,23,0,16,7,7,12,1,1,18,4,0,37,0
8,0,15,0,23,5,7,16,1,6,20,5,0,44,0
17,1,55,0,3,1,7,32,0,2,20,0,0,9,1
8,0,23,0,6,1,7,41,1,8,0,1,0,14,1
0,0,27,0,21,5,30,45,1,2,18,0,0,37,1
8,0,17,1,19,6,7,17,1,4,18,5,0,43,1
8,0,33,0,37,9,7,1,1,2,18,5,0,37,1
7,0,17,0,4,2,7,1,1,1,18,8,0,37,1
8,0,17,0,40,10,7,3,1,8,0,5,0,46,0
2,1,32,0,2,1,7,20,1,2,18,1,0,37,1
0,1,27,1,6,2,7,45,1,4,0,7,0,9,1
17,1,67,0,8,11,36,21,1,4,0,7,0,46,1
11,0,32,0,32,9,7,22,1,2,20,4,0,27,0
8,0,27,0,23,10,30,1,1,6,20,7,0,9,1
4,0,32,0,22,11,7,17,1,7,18,4,0,14,0
1,1,67,0,12,9,36,53,1,4,0,4,0,46,1
5,1,17,0,8,7,7,53,1,8,4,3,0,14,1
17,1,67,0,4,9,36,53,1,6,19,4,0,46,1
4,0,27,0,19,11,7,53,1,8,0,4,0,14,1
17,1,17,0,2,11,7,18,1,6,0,3,0,14,1
9,0,35,1,8,4,14,12,1,1,0,5,0,6,1
5,0,17,1,17,4,7,20,1,4,20,1,0,9,1
7,0,27,0,15,5,30,12,1,1,18,5,0,37,1
4,0,11,1,19,7,3,18,1,4,18,7,0,46,1
5,0,27,1,16,5,30,1,1,2,18,4,0,37,0
8,0,67,0,9,4,36,53,1,8,0,1,0,14,1
16,0,66,0,23,6,7,45,1,9,12,2,0,46,1
14,0,55,1,20,5,7,51,1,6,0,2,2,46,1
7,0,68,1,25,7,7,22,1,2,18,1,0,37,1
3,0,27,0,7,9,7,40,1,2,20,1,0,10,1
2,0,27,1,13,4,30,45,1,6,0,7,0,29,1
16,0,50,1,2,4,7,1,1,2,18,2,0,37,1
17,0,27,0,17,6,30,45,1,1,18,1,0,37,1
17,0,27,0,17,6,30,45,1,6,20,1,0,47,1
17,0,27,0,17,6,30,45,1,6,0,1,0,46,1
17,1,27,0,9,5,7,45,1,8,0,0,0,9,1
7,0,27,1,13,5,30,12,1,1,18,1,0,37,1
8,0,67,0,8,6,36,20,1,6,0,5,0,46,1
7,0,68,0,30,8,7,16,1,1,18,5,0,37,1
4,1,67,0,11,5,7,18,1,4,20,3,0,45,1
17,1,15,0,2,6,7,45,1,2,0,5,0,9,1
0,0,17,0,34,11,7,41,1,8,0,4,0,14,1
3,1,27,0,7,1,7,45,1,3,0,3,0,46,1
17,0,27,0,15,5,30,45,1,2,18,1,0,37,1
1,0,67,0,9,3,7,18,1,2,18,7,0,37,1
2,1,67,0,18,1,36,18,1,2,18,0,0,37,1
1,0,67,0,22,10,36,18,1,2,18,4,2,37,1
4,0,0,1,33,1,7,4,1,8,0,5,0,14,1
8,0,27,0,5,11,30,52,1,2,18,8,0,27,0
0,1,55,0,3,3,7,18,1,6,7,4,0,39,1
6,0,17,0,8,5,7,16,1,2,18,1,0,18,1
3,0,27,0,8,5,30,32,0,8,0,5,0,9,1
2,0,23,0,32,11,7,22,1,5,0,4,0,14,0
8,0,55,0,15,8,7,11,1,2,0,4,0,0,1
0,1,27,0,5,3,30,1,1,8,0,1,0,37,1
8,0,27,1,13,5,30,3,1,1,18,1,0,37,1
17,0,33,0,14,7,7,20,1,1,18,4,0,37,0
4,0,14,1,7,8,7,12,1,11,0,1,0,9,1
3,0,17,0,5,2,7,12,1,2,18,4,0,37,1
5,0,67,0,26,5,36,53,1,1,18,4,0,37,1
17,1,27,1,10,3,30,18,1,8,0,7,0,9,1
4,0,29,0,29,7,15,4,1,7,0,5,0,14,0
8,0,17,1,16,4,7,20,1,2,18,5,0,37,1
8,0,35,0,43,11,7,17,1,5,0,1,26,14,0
11,0,35,1,21,5,7,17,1,7,20,8,0,9,1
9,0,23,0,46,11,7,17,1,2,18,4,0,37,0
0,1,17,0,1,2,7,40,1,1,18,0,0,37,1
11,0,72,0,2,6,37,1,1,9,14,2,0,39,1
17,1,27,0,8,9,30,45,1,7,20,0,0,33,1
17,1,27,0,11,7,30,49,1,7,20,0,0,30,1
17,1,17,0,5,0,7,49,1,2,18,0,0,37,1
5,1,17,1,3,5,7,16,1,8,0,7,0,9,1
17,1,27,0,13,2,7,49,1,4,0,0,0,9,1
17,1,33,0,1,2,17,49,1,6,18,0,0,9,1
17,1,68,0,1,0,7,49,1,4,0,0,0,9,1
17,1,27,0,1,3,30,49,1,2,18,0,0,10,0
17,1,33,0,1,0,7,49,1,7,20,0,0,30,1
10,0,67,0,17,8,36,53,1,1,18,1,0,37,1
5,0,32,1,18,6,7,53,1,1,18,1,0,37,1
7,0,17,1,12,6,7,20,1,1,18,5,0,37,1
17,1,27,1,4,3,7,45,1,2,18,0,0,37,1
17,1,27,0,2,2,7,1,1,8,0,3,0,18,1
17,1,27,0,1,0,30,1,1,7,10,0,0,46,1
5,0,11,0,2,3,3,12,1,1,18,5,0,37,1
7,0,4,0,1,8,7,12,1,6,18,1,0,9,1
5,0,17,0,29,8,7,18,1,8,0,4,2,46,1
14,0,32,0,26,11,7,52,1,2,18,2,0,37,0
2,0,72,0,25,8,37,49,1,6,18,1,0,46,1
6,0,17,0,20,7,7,12,1,6,0,4,0,6,1
1,1,15,0,2,2,7,16,1,3,20,7,0,14,1
0,1,67,1,9,5,36,18,1,2,18,7,0,37,1
9,0,17,0,3,3,7,40,1,6,20,8,0,46,1
3,0,17,0,10,2,7,1,1,1,18,4,0,37,1
7,0,27,0,16,4,30,45,1,1,18,0,0,37,1
7,0,17,0,15,8,7,16,1,7,20,4,0,14,1
5,0,67,0,6,2,36,53,1,2,18,5,0,37,1
1,0,67,0,20,6,36,18,1,4,0,5,0,37,1
4,0,27,0,19,8,30,49,1,1,18,5,0,37,1
2,1,51,0,1,4,25,11,1,1,18,7,0,37,0
14,0,32,1,20,5,7,43,1,6,10,1,0,14,1
17,1,33,1,6,5,17,32,0,1,18,3,0,37,0
17,1,27,0,12,7,30,1,1,4,20,0,0,47,1
8,0,27,0,19,5,7,11,1,2,0,5,0,6,1
17,0,32,0,41,11,7,49,1,1,18,1,0,37,1
17,0,67,0,19,10,36,1,1,6,20,1,0,9,1
3,0,17,0,2,0,7,12,1,1,18,7,0,37,1
2,0,27,0,20,8,30,1,1,2,18,1,0,37,1
0,0,17,1,6,5,7,20,1,1,18,1,0,37,0
15,0,33,0,18,8,17,20,1,4,0,5,0,39,1
2,1,27,0,2,3,7,16,1,2,18,7,0,10,0
3,0,17,1,11,10,7,17,1,8,0,8,0,46,0
9,0,55,1,17,5,7,18,1,4,18,5,0,9,1
11,0,23,1,38,11,7,20,1,8,0,1,0,14,1
8,0,67,0,12,6,36,53,1,2,18,4,0,37,1
1,0,67,1,9,10,36,18,1,2,18,5,0,37,1
8,0,67,0,21,5,7,53,1,6,20,5,0,9,1
14,0,72,0,40,10,37,43,1,4,0,5,0,14,1
0,1,34,0,4,0,7,21,1,4,18,7,0,14,1
3,1,27,0,8,5,7,43,1,8,0,6,0,18,1
2,0,49,0,23,11,7,21,1,2,18,5,0,37,1
7,0,17,0,23,11,7,39,2,2,18,1,0,37,1
4,0,0,0,12,7,7,32,0,1,18,4,0,6,1
17,1,27,0,6,5,30,45,1,7,20,3,0,9,1
1,1,27,0,7,4,30,45,1,4,0,0,0,6,1
17,1,22,0,7,5,7,45,1,4,18,1,0,44,1
17,1,27,0,14,5,30,1,1,6,20,3,0,9,1
4,0,7,0,2,3,7,49,1,4,18,1,0,39,1
14,0,35,0,6,6,7,16,1,8,0,5,0,44,0
2,1,60,0,3,5,7,16,1,4,18,7,0,27,0
4,1,17,0,1,1,7,21,1,11,0,8,0,9,1
2,0,72,0,1,9,37,21,1,7,20,8,0,10,1
6,0,17,0,2,8,7,1,1,6,18,1,0,14,1
15,0,27,0,16,7,7,1,1,4,18,2,0,37,1
0,0,27,0,28,11,30,45,1,1,18,0,0,37,1
9,0,27,0,22,7,7,16,1,5,0,5,62,48,0
8,0,27,1,11,4,30,49,1,1,18,5,0,37,1
17,0,20,0,13,11,7,4,1,6,3,5,0,39,1
17,1,17,0,1,4,7,1,1,4,18,0,0,37,1
9,0,33,1,15,11,7,12,1,2,18,5,0,37,1
6,0,17,0,6,7,7,20,1,8,0,1,0,9,1
14,0,68,1,37,9,7,40,1,9,0,5,0,46,0
1,0,27,1,14,7,30,9,2,1,18,0,0,37,1
17,1,27,0,6,4,30,45,1,2,18,0,0,9,0
17,1,27,0,1,0,30,45,1,2,18,4,0,9,0
9,0,27,0,20,2,30,45,1,6,7,7,0,9,1
8,0,27,0,38,8,7,12,1,2,18,4,0,37,0
14,0,17,1,19,7,7,52,1,13,0,2,0,48,1
7,0,34,0,21,6,7,49,1,4,20,4,0,18,1
9,0,68,0,38,11,7,54,0,7,0,5,0,14,1
17,1,27,0,2,1,30,41,1,2,18,0,0,47,1
3,0,72,0,52,11,37,40,1,8,0,1,0,9,1
2,0,27,1,18,5,7,9,2,4,0,0,0,9,1
6,0,17,0,20,8,7,33,1,2,18,5,0,27,0
8,0,27,0,37,8,7,18,1,2,20,5,1,46,0
1,0,27,0,32,9,30,45,1,2,18,0,0,37,1
8,0,17,1,48,7,7,18,1,5,0,1,0,48,0
2,1,55,0,1,1,7,16,1,8,0,7,0,46,1
5,0,50,0,52,11,7,4,1,4,0,4,13,14,0
5,0,45,0,42,11,7,16,1,2,18,7,0,43,1
5,0,23,0,28,11,7,41,1,2,18,4,0,18,1
5,0,67,0,15,7,36,18,1,2,18,7,0,37,1
17,1,51,0,2,2,25,18,1,6,7,5,0,14,1
17,1,17,0,4,6,7,18,1,8,0,4,0,14,1
8,0,11,1,16,6,3,12,1,11,14,1,0,14,1
17,0,17,0,21,7,7,18,1,1,18,5,0,37,0
4,0,67,0,2,2,36,12,1,4,14,1,0,46,1
4,0,72,0,17,7,37,4,1,2,18,7,0,37,1
17,1,27,0,1,0,7,49,1,6,3,1,0,14,1
3,0,68,0,7,4,7,16,1,6,18,7,0,18,1
6,0,34,0,5,1,7,11,1,8,0,5,0,14,1
1,0,27,0,8,4,7,1,1,2,0,1,0,6,0
0,1,27,0,8,0,30,45,1,3,18,0,0,47,1
0,1,27,0,3,4,30,49,1,1,18,5,0,37,0
8,0,72,0,10,7,37,33,1,2,18,5,0,37,0
2,0,60,0,5,1,7,49,1,3,20,4,0,9,1
3,0,33,0,20,7,7,20,1,2,20,4,0,37,1
6,0,17,0,32,8,7,18,1,4,18,5,0,18,1
7,0,55,0,20,7,7,49,1,8,0,1,0,39,1
6,0,17,0,37,11,7,3,1,7,0,8,0,46,0
6,0,27,0,4,7,30,22,1,1,18,8,0,37,1
16,0,60,0,27,10,7,37,1,4,0,5,2,46,1
10,0,55,0,21,6,7,41,1,9,20,8,0,44,1
7,1,27,0,12,11,7,45,1,7,0,0,0,46,0
2,0,67,0,1,2,36,49,1,1,18,4,0,37,0
3,0,67,0,35,7,36,1,1,4,0,4,0,46,1
12,0,14,0,38,11,7,40,1,11,0,5,0,46,1
17,1,72,0,3,11,37,54,0,2,0,4,0,6,1
8,0,17,0,4,3,7,16,1,2,18,1,0,37,1
8,0,4,0,41,10,1,16,1,7,0,5,5,14,0
2,1,22,0,4,10,7,37,1,6,20,4,0,46,1
2,0,11,0,39,11,7,1,1,1,18,1,0,37,1
7,0,70,0,2,9,7,41,1,5,0,4,0,14,1
7,0,17,0,4,3,7,1,1,4,20,1,0,9,1
0,1,72,0,2,8,37,49,1,8,0,7,0,46,1
2,0,17,1,33,9,7,49,1,4,18,1,0,29,1
17,1,27,0,6,5,30,18,1,4,18,0,0,47,1
7,0,38,0,22,11,20,16,1,2,18,5,0,37,1
8,0,11,1,7,6,7,12,1,1,18,5,0,37,1
8,0,50,0,8,5,7,16,1,2,18,5,0,37,1
3,1,17,0,2,6,7,20,1,1,18,1,0,37,1
4,0,17,1,12,5,7,22,1,1,20,0,0,2,1
9,0,66,0,46,11,7,16,1,12,0,5,0,14,0
2,0,67,0,17,6,36,49,1,4,19,1,0,46,1
6,0,23,1,37,7,7,20,1,9,0,5,0,14,0
8,0,67,0,6,6,36,53,1,1,18,1,0,37,1
3,0,68,0,38,11,7,4,1,6,0,1,0,14,0
0,1,27,0,1,5,7,49,1,6,18,0,0,29,1
6,0,55,0,6,7,7,12,1,1,18,5,0,37,1
10,0,15,1,28,6,7,9,2,4,0,2,7,18,1
3,1,27,1,6,1,30,32,0,6,20,7,0,9,1
3,0,67,1,12,2,36,18,1,6,20,1,0,46,1
