HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned
1,1,23,0,1,1,12,32,0,11,0,1,0,6,1
16,0,72,1,14,6,37,38,1,2,18,5,0,37,0
8,0,33,1,7,5,7,21,1,2,18,5,0,37,0
12,0,17,0,23,7,7,28,1,4,18,5,1,27,1
3,0,33,0,23,8,7,42,1,12,20,4,0,9,0
16,0,55,1,10,5,7,25,1,1,18,2,0,37,1
10,0,17,0,4,11,7,43,1,6,7,8,0,9,1
15,0,27,1,22,5,7,42,1,2,18,2,0,37,1
11,0,11,0,2,5,7,21,1,6,18,5,0,29,1
3,0,32,0,6,9,7,21,1,4,0,1,1,43,0
9,0,17,0,7,6,7,28,1,6,18,4,0,46,1
16,0,23,0,25,7,7,28,1,13,0,5,0,14,1
9,0,17,0,23,10,7,28,1,13,1,5,1,27,1
15,0,17,1,16,6,7,4,1,6,20,2,0,46,1
10,0,17,0,11,9,7,21,1,8,0,8,0,14,1
12,0,72,0,1,1,37,25,1,4,18,2,0,46,1
17,1,17,0,7,1,7,21,1,6,0,7,0,46,1
6,0,33,0,7,8,7,0,1,3,0,7,0,39,1
15,0,17,1,12,4,7,25,1,3,20,2,0,18,1
12,0,32,0,26,10,7,0,1,2,18,8,0,18,0
15,0,60,1,20,5,7,21,1,6,0,5,0,37,1
11,1,33,0,2,8,17,25,1,11,0,4,0,47,1
10,1,55,0,4,7,7,25,1,7,0,4,0,6,1
7,1,17,0,4,11,7,25,1,1,18,4,0,37,1
12,1,20,0,1,4,7,25,1,6,12,4,0,47,1
9,1,35,0,3,11,7,25,1,8,0,4,0,14,1
12,0,55,0,10,10,7,25,1,9,0,4,2,46,0
14,0,33,1,21,6,7,42,1,10,0,2,0,14,1
0,1,4,0,6,0,7,21,1,8,0,7,0,9,1
14,0,35,1,4,5,7,28,1,5,0,5,0,43,0
12,0,23,0,15,4,7,43,1,4,18,8,0,37,1
17,0,32,0,17,9,7,21,1,1,18,7,0,37,1
10,0,34,1,27,6,7,28,1,4,20,5,0,18,1
8,0,11,0,30,11,7,21,1,2,20,5,0,37,1
10,0,17,0,20,7,7,21,1,12,0,5,0,46,1
10,0,11,0,4,3,3,21,1,7,20,5,0,27,1
8,0,32,0,13,9,7,29,1,7,0,4,0,14,1
8,0,17,0,19,8,7,21,1,8,0,8,0,14,1
5,1,27,0,9,8,30,21,1,7,0,7,14,14,1
17,1,55,0,1,11,7,21,1,6,0,3,0,48,1
6,1,33,1,1,6,7,37,1,2,18,4,0,27,1
9,0,33,1,2,3,7,43,1,6,7,2,0,14,1
10,0,11,0,4,4,7,25,1,7,20,2,0,30,0
9,0,17,0,10,7,7,21,1,7,5,5,0,46,1
1,1,27,0,2,6,30,32,0,3,0,7,0,44,1
15,0,29,0,28,7,7,21,1,4,0,5,0,29,1
1,0,23,0,3,3,7,25,1,6,18,8,0,27,1
10,0,67,1,7,7,36,43,1,2,0,2,0,18,1
9,0,27,0,5,3,30,42,1,1,18,1,0,37,1
11,0,35,0,28,8,7,21,1,8,0,8,0,47,1
10,0,27,0,2,2,7,21,1,4,0,7,0,18,1
14,0,33,0,24,9,7,21,1,2,18,5,0,37,1
11,0,17,0,37,8,7,21,1,5,0,5,0,14,0
7,0,33,0,7,2,7,0,1,4,18,5,0,37,1
14,0,11,0,29,8,3,21,1,1,18,5,0,37,1
12,0,17,0,24,9,7,15,1,7,18,2,0,14,0
15,0,27,0,20,6,30,50,1,2,0,5,0,27,0
12,0,33,1,13,3,7,0,1,6,7,7,0,18,1
11,1,17,0,2,5,7,25,1,7,0,2,0,30,0
17,0,55,0,16,9,7,21,1,1,18,7,0,37,1
11,0,4,1,14,6,7,21,1,7,8,5,0,48,1
15,0,49,1,13,5,8,42,1,6,11,2,0,46,1
9,0,22,1,2,3,7,25,1,2,0,2,0,5,0
12,0,11,0,5,5,7,21,1,8,2,5,0,14,1
9,0,17,1,24,6,7,0,1,6,18,5,0,14,1
8,0,27,0,22,6,30,15,1,4,18,1,0,9,1
12,0,22,0,3,3,7,0,1,2,0,2,0,0,1
5,0,17,0,17,8,7,42,1,5,0,7,6,14,1
7,0,35,0,23,11,7,21,1,1,18,5,0,37,0
