Year Of Residence,reward program,Home Ownership,County,dummy for Children,Ethnicity,Language,City,Deliveryperiod,Source Channel,Age range,HH Income,weekly fee,Nielsen Prizm,is_churned
-1.0671157771500965,-0.11590048533580517,1.0,0.0,0.0,23.0,12.0,32.0,0.0,6.0,1.0,1.0,11.0,1.0,1
0.046968348777093265,-0.11590048533580517,0.0,1.0,1.0,72.0,37.0,38.0,18.0,37.0,6.0,16.0,2.0,5.0,0
-0.5529231036452397,-0.11590048533580517,0.0,1.0,1.0,33.0,7.0,21.0,18.0,37.0,5.0,8.0,2.0,5.0,0
0.8182573590343785,-0.012402585485379437,0.0,1.0,0.0,17.0,7.0,28.0,18.0,27.0,7.0,12.0,4.0,5.0,1
0.8182573590343785,-0.11590048533580517,0.0,1.0,0.0,33.0,7.0,42.0,20.0,9.0,8.0,3.0,12.0,4.0,0
-0.2958267668928113,-0.11590048533580517,0.0,1.0,1.0,55.0,7.0,25.0,18.0,37.0,5.0,16.0,1.0,2.0,1
-0.8100194403976682,-0.11590048533580517,0.0,1.0,0.0,17.0,7.0,43.0,7.0,9.0,11.0,10.0,6.0,8.0,1
0.7325585801169023,-0.11590048533580517,0.0,1.0,1.0,27.0,7.0,42.0,18.0,37.0,5.0,15.0,2.0,2.0,1
-0.9814169982326204,-0.11590048533580517,0.0,1.0,0.0,11.0,7.0,21.0,18.0,29.0,5.0,11.0,6.0,5.0,1
-0.6386218825627158,-0.012402585485379437,0.0,1.0,0.0,32.0,7.0,21.0,0.0,43.0,9.0,3.0,4.0,1.0,0
-0.5529231036452397,-0.11590048533580517,0.0,1.0,0.0,17.0,7.0,28.0,18.0,46.0,6.0,9.0,6.0,4.0,1
0.9896549168693308,-0.11590048533580517,0.0,1.0,0.0,23.0,7.0,28.0,0.0,14.0,7.0,16.0,13.0,5.0,1
0.8182573590343785,-0.012402585485379437,0.0,1.0,0.0,17.0,7.0,28.0,1.0,27.0,10.0,9.0,13.0,5.0,1
0.21836590661204555,-0.11590048533580517,0.0,1.0,1.0,17.0,7.0,4.0,20.0,46.0,6.0,15.0,6.0,2.0,1
-0.21012798797533516,-0.11590048533580517,0.0,1.0,0.0,17.0,7.0,21.0,0.0,14.0,9.0,10.0,8.0,8.0,1
-1.0671157771500965,-0.11590048533580517,0.0,1.0,0.0,72.0,37.0,25.0,18.0,46.0,1.0,12.0,4.0,2.0,1
-0.5529231036452397,-0.11590048533580517,1.0,1.0,0.0,17.0,7.0,21.0,0.0,46.0,1.0,17.0,6.0,7.0,1
-0.5529231036452397,-0.11590048533580517,0.0,1.0,0.0,33.0,7.0,0.0,0.0,39.0,8.0,6.0,3.0,7.0,1
-0.12442920905785901,-0.11590048533580517,0.0,1.0,1.0,17.0,7.0,25.0,20.0,18.0,4.0,15.0,3.0,2.0,1
1.0753536957868068,-0.11590048533580517,0.0,1.0,0.0,32.0,7.0,0.0,18.0,18.0,10.0,12.0,2.0,8.0,0
0.5611610222819501,-0.11590048533580517,0.0,1.0,1.0,60.0,7.0,21.0,0.0,37.0,5.0,15.0,6.0,5.0,1
-0.9814169982326204,-0.11590048533580517,1.0,1.0,0.0,33.0,17.0,25.0,0.0,47.0,8.0,11.0,11.0,4.0,1
-0.8100194403976682,-0.11590048533580517,1.0,1.0,0.0,55.0,7.0,25.0,0.0,6.0,7.0,10.0,7.0,4.0,1
-0.8100194403976682,-0.11590048533580517,1.0,1.0,0.0,17.0,7.0,25.0,18.0,37.0,11.0,7.0,1.0,4.0,1
-1.0671157771500965,-0.11590048533580517,1.0,1.0,0.0,20.0,7.0,25.0,12.0,47.0,4.0,12.0,6.0,4.0,1
-0.8957182193151443,-0.11590048533580517,1.0,1.0,0.0,35.0,7.0,25.0,0.0,14.0,11.0,9.0,8.0,4.0,1
-0.2958267668928113,0.09109531436504631,0.0,1.0,0.0,55.0,7.0,25.0,0.0,46.0,10.0,12.0,9.0,4.0,0
0.6468598011994262,-0.11590048533580517,0.0,1.0,1.0,33.0,7.0,42.0,0.0,14.0,6.0,14.0,10.0,2.0,1
-0.6386218825627158,-0.11590048533580517,1.0,1.0,0.0,4.0,7.0,21.0,0.0,9.0,0.0,0.0,8.0,7.0,1
-0.8100194403976682,-0.11590048533580517,0.0,1.0,1.0,35.0,7.0,28.0,0.0,43.0,5.0,14.0,5.0,5.0,0
0.1326671276945694,-0.11590048533580517,0.0,1.0,0.0,23.0,7.0,43.0,18.0,37.0,4.0,12.0,4.0,8.0,1
0.30406468552952165,-0.11590048533580517,0.0,1.0,0.0,32.0,7.0,21.0,18.0,37.0,9.0,17.0,1.0,7.0,1
1.161052474704283,-0.11590048533580517,0.0,1.0,1.0,34.0,7.0,28.0,20.0,18.0,6.0,10.0,4.0,5.0,1
1.4181488114567116,-0.11590048533580517,0.0,1.0,0.0,11.0,7.0,21.0,20.0,37.0,11.0,8.0,2.0,5.0,1
0.5611610222819501,-0.11590048533580517,0.0,1.0,0.0,17.0,7.0,21.0,0.0,46.0,7.0,10.0,12.0,5.0,1
