HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned
"$  90,000 - $99,999",OWNER,Jewish,N,23,75 years or more,English,IRVINE,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,0
"$150,000 - $174,999",OWNER,English,Y,8,35-39,English,ALISO VIEJO,ORANGE,$6.00 - $6.99,7day,YM,54,CustCall,1
"$150,000 - $174,999",OWNER,English,N,15,55-59,English,DANA POINT,ORANGE,$6.00 - $6.99,7day,MW,4,DirectMl,0
"$100,000 - $124,999",OWNER,unknown,N,20,45-49,unknown,IRVINE,ORANGE,$6.00 - $6.99,7day,MW,0,System,1
"$175,000 - $199,999",OWNER,French,N,4,55-59,English,RANCHO SANTA MARGARITA,ORANGE,$2.00 - $2.99,sunonly,YW,0,Kiosk,1
"$175,000 - $199,999",OWNER,Korean,Y,8,65-69,English,IRVINE,ORANGE,$2.00 - $2.99,7day,MW,0,CustCall,1
"$150,000 - $174,999",OWNER,English,Y,3,40-44,English,IRVINE,ORANGE,$1.00 - $1.99,7day,FM,0,Partner,1
"$  60,000 - $69,999",OWNER,Hispanic,N,4,40-44,English,LAGUNA HILLS,ORANGE,$1.00 - $1.99,fri-sun,FM,0,CustCall,1
"$175,000 - $199,999",OWNER,Vietnamese,N,11,50-54,English,NEWPORT COAST,ORANGE,$2.00 - $2.99,thu-sun,YW,0,TMC,1
"$  70,000 - $79,999",OWNER,Irish,N,22,70-74,English,IRVINE,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$  60,000 - $69,999",RENTER,German,N,2,60-64,English,IRVINE,ORANGE,$5.00 - $5.99,7day,YM,0,VRU,1
"$175,000 - $199,999",OWNER,Chinese,N,2,35-39,Chinese,NEWPORT COAST,ORANGE,$5.00 - $5.99,7day,FW,0,VRU,1
"$175,000 - $199,999",OWNER,French,N,22,50-54,English,ALISO VIEJO,ORANGE,$10.00 - $10.99,7day,YW,0,CustCall,1
"$200,000 - $249,999",OWNER,unknown,N,7,45-49,unknown,FOOTHILL RANCH,ORANGE,$2.00 - $2.99,thu-sun,YW,0,CircAdm,1
"$  40,000 - $49,999",RENTER,Japanese,N,4,50-54,Japanese,IRVINE,ORANGE,$0.51 - $0.99,7day,FM,0,DirectMl,1
"Under $20,000",RENTER,Hispanic,N,9,30-34,Spanish,RANCHO SANTA MARGARITA,ORANGE,$2.00 - $2.99,satsun,YE,0,TeleIn,1
"$100,000 - $124,999",OWNER,Turkish,N,2,30-34,Turkish,RANCHO SANTA MARGARITA,ORANGE,$1.00 - $1.99,7day,FM,0,CircAdm,1
"$400,000 - $499,999",OWNER,English,Y,19,50-54,English,FOOTHILL RANCH,ORANGE,$2.00 - $2.99,7day,FW,0,Internet,1
"$300,000 - $399,999",OWNER,Jewish,Y,15,50-54,English,LAGUNA BEACH,ORANGE,$4.00 - $4.99,7day,YW,0,CustCall,1
"Under $20,000",RENTER,Irish,N,50,60-64,English,LONG BEACH,LOS ANGELES,$3.00 - $3.99,7day,MM,0,Crew,1
"$  70,000 - $79,999",OWNER,Hispanic,N,14,45-49,Spanish,ANAHEIM,ORANGE,$0.51 - $0.99,sunonly,YW,0,TeleIn,1
"$175,000 - $199,999",OWNER,Hispanic,N,24,65-69,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,sunonly,FW,0,Partner,1
"$100,000 - $124,999",OWNER,English,Y,11,65-69,English,LAGUNA BEACH,ORANGE,$9.00 - $9.99,7day,MW,0,CustCall,0
"$  50,000 - $59,999",OWNER,English,N,3,30-34,English,ANAHEIM,ORANGE,$0 - $0.01,7day,MW,0,Partner,0
"$500,000 Plus",OWNER,Italian,N,20,55-59,English,NEWPORT BEACH,ORANGE,$4.00 - $4.99,thu-sun,MW,0,TeleIn,0
"$  40,000 - $49,999",OWNER,Hispanic,N,20,40-44,English,ANAHEIM,ORANGE,$0.01 - $0.50,sunonly,FM,0,Partner,1
"$  40,000 - $49,999",OWNER,Hispanic,N,17,45-49,Spanish,ANAHEIM,ORANGE,$2.00 - $2.99,sunonly,ME,0,TeleIn,1
"$175,000 - $199,999",OWNER,Vietnamese,N,7,30-34,Vietnamese,IRVINE,ORANGE,$4.00 - $4.99,7day,FW,0,CustCall,1
"Under $20,000",OWNER,Vietnamese,N,9,50-54,English,SANTA ANA,ORANGE,$0 - $0.01,sunonly,FE,0,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,16,30-34,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,thu-sun,FE,0,Partner,1
"$100,000 - $124,999",OWNER,English,Y,22,55-59,English,FULLERTON,ORANGE,$1.00 - $1.99,soootfs,MM,0,Partner,1
"$  50,000 - $59,999",OWNER,Norwegian,N,20,70-74,English,LA HABRA,ORANGE,$2.00 - $2.99,thu-sun,FM,0,SCinsert,0
"Under $20,000",RENTER,Hispanic,N,5,24 years or less,Spanish,ANAHEIM,ORANGE,$1.00 - $1.99,7day,FE,0,Crew,1
"$100,000 - $124,999",RENTER,English,N,2,35-39,English,COSTA MESA,ORANGE,$1.00 - $1.99,sunonly,YM,0,Crew,1
"$100,000 - $124,999",RENTER,Armenian,N,1,30-34,English,COSTA MESA,ORANGE,$1.00 - $1.99,sunonly,YM,0,CustCall,1
"$100,000 - $124,999",RENTER,German,N,6,75 years or more,English,COSTA MESA,ORANGE,$4.00 - $4.99,thu-sun,MW,0,Crew,1
"$  20,000 - $29,999",RENTER,Hispanic,Y,12,40-44,English,FULLERTON,ORANGE,$0.01 - $0.50,sunonly,FE,0,Partner,1
"$  40,000 - $49,999",OWNER,Turkish,N,26,65-69,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,7day,MM,0,DirectMl,1
"$100,000 - $124,999",OWNER,Hispanic,N,14,60-64,Spanish,CYPRESS,ORANGE,$0 - $0.01,sunonly,FM,0,Partner,1
"$  70,000 - $79,999",OWNER,Hispanic,N,20,55-59,English,CYPRESS,ORANGE,$2.00 - $2.99,7day,FM,3,Internet,1
"$  50,000 - $59,999",OWNER,Hispanic,Y,23,40-44,English,GARDEN GROVE,ORANGE,$0.01 - $0.50,sunonly,FM,0,Partner,1
"$  50,000 - $59,999",OWNER,Hispanic,N,4,55-59,English,LA HABRA,ORANGE,$1.00 - $1.99,thu-sun,MW,0,Crew,1
"$100,000 - $124,999",RENTER,Scottish (Scotch),Y,14,35-39,English,SANTA ANA,ORANGE,$3.00 - $3.99,thu-sun,FE,0,Crew,1
"Under $20,000",RENTER,Hispanic,N,1,30-34,Spanish,LA HABRA,ORANGE,$3.00 - $3.99,soootfs,FE,0,Crew,1
"$  60,000 - $69,999",OWNER,Hispanic,N,13,75 years or more,Spanish,LA HABRA,ORANGE,$3.00 - $3.99,7day,YM,0,CustCall,1
"$  30,000 - $39,999",OWNER,Hispanic,Y,24,60-64,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,sunonly,YM,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,1,24 years or less,English,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,FE,0,Crew1,0
"$  50,000 - $59,999",OWNER,Vietnamese,N,25,60-64,Vietnamese,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$  30,000 - $39,999",RENTER,Hispanic,N,4,35-39,English,ANAHEIM,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,6,60-64,Spanish,SANTA ANA,ORANGE,$4.00 - $4.99,7day,FE,0,Crew,1
"Under $20,000",RENTER,Hispanic,N,2,25-29,English,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,FE,0,TeleOut,1
"$  50,000 - $59,999",OWNER,Hispanic,N,10,45-49,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,FE,0,TeleOut,1
"$  80,000 - $89,999",OWNER,Hispanic,N,2,50-54,English,CORONA,RIVERSIDE,$0.01 - $0.50,sunonly,FM,0,Partner,1
"$100,000 - $124,999",RENTER,English,Y,4,30-34,English,FULLERTON,ORANGE,$0 - $0.01,sunonly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,Vietnamese,N,8,60-64,English,CORONA,RIVERSIDE,$0.01 - $0.50,sunonly,FM,0,Partner,1
"Under $20,000",RENTER,unknown,N,20,75 years or more,unknown,LA HABRA,ORANGE,$3.00 - $3.99,thu-sun,MM,0,TeleIn,0
"Under $20,000",OWNER,Polish,N,16,75 years or more,Polish,LA HABRA,ORANGE,$1.00 - $1.99,7day,FE,0,CustCall,1
"Under $20,000",RENTER,Hispanic,N,12,70-74,Spanish,LA HABRA,ORANGE,$0 - $0.01,sunonly,ME,0,Partner,1
"$  50,000 - $59,999",RENTER,Hispanic,N,1,60-64,English,SANTA ANA,ORANGE,$1.00 - $1.99,sunonlyt,FE,0,CustCall,1
"$  80,000 - $89,999",OWNER,German,N,1,30-34,English,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,ME,0,Partner,1
"$  40,000 - $49,999",OWNER,Portuguese,N,2,24 years or less,English,SANTA ANA,ORANGE,$2.00 - $2.99,7day,FM,0,TeleIn,1
"$400,000 - $499,999",OWNER,Dutch,N,38,70-74,English,COSTA MESA,ORANGE,$8.00 - $8.99,7day,MW,0,TeleIn,0
"$  40,000 - $49,999",OWNER,Hispanic,N,11,45-49,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,thu-sun,FM,0,Partner,1
"$  70,000 - $79,999",RENTER,French,N,2,55-59,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,YM,0,TeleOut,1
"$  20,000 - $29,999",OWNER,Hispanic,Y,15,50-54,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$  90,000 - $99,999",OWNER,English,N,18,70-74,English,CYPRESS,ORANGE,$4.00 - $4.99,7day,MW,0,SCinsert,1
"$  90,000 - $99,999",OWNER,English,N,37,75 years or more,English,ANAHEIM,ORANGE,$3.00 - $3.99,sunonly,MM,1,TeleIn,1
"$125,000 - $149,999",OWNER,Welsh,N,2,50-54,English,BREA,ORANGE,$0.01 - $0.50,7day,YW,0,AdvAdm,1
"Under $20,000",RENTER,Hispanic,N,9,55-59,English,SANTA ANA,ORANGE,$0.01 - $0.50,sunonly,FE,0,Partner,1
"Under $20,000",OWNER,Scottish (Scotch),N,22,75 years or more,English,GARDEN GROVE,ORANGE,$5.00 - $5.99,7day,MM,0,CustCall,1
"$125,000 - $149,999",OWNER,Chinese,N,17,50-54,English,WESTMINSTER,ORANGE,$4.00 - $4.99,7day,FM,0,Kiosk,1
"$  50,000 - $59,999",OWNER,Vietnamese,N,8,45-49,Vietnamese,GARDEN GROVE,ORANGE,$1.00 - $1.99,thu-sun,YM,0,Crew,1
"$150,000 - $174,999",OWNER,Hispanic,Y,18,45-49,English,WHITTIER,LOS ANGELES,$1.00 - $1.99,sunonly,FW,0,System,1
"$  60,000 - $69,999",OWNER,Japanese,N,12,45-49,English,WHITTIER,LOS ANGELES,$0 - $0.01,sunonly,FM,0,Partner,1
"$  80,000 - $89,999",OWNER,Scottish (Scotch),N,23,55-59,English,FOUNTAIN VALLEY,ORANGE,$3.00 - $3.99,thu-sun,FM,0,VRU,0
"$100,000 - $124,999",OWNER,Filipino (Philippine),N,29,75 years or more,English,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,sunonly,MW,0,DirectMl,1
"$  80,000 - $89,999",OWNER,English,N,38,75 years or more,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,satsun,MM,0,CustCall,1
"$  40,000 - $49,999",OWNER,Hispanic,Y,17,50-54,Spanish,SANTA ANA,ORANGE,$1.00 - $1.99,sunonly,YM,0,CustCall,1
"$  70,000 - $79,999",OWNER,Hispanic,N,20,60-64,Spanish,ANAHEIM,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"$  20,000 - $29,999",OWNER,Scottish (Scotch),N,4,45-49,English,COSTA MESA,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,0
"$  20,000 - $29,999",RENTER,Irish,N,1,25-29,English,CORONA,RIVERSIDE,$0.01 - $0.50,sunonly,YM,0,Partner,1
"$100,000 - $124,999",OWNER,French,N,7,45-49,English,ANAHEIM,ORANGE,$10.00 - $10.99,7day,FW,8,CustCall,0
"Under $20,000",RENTER,Hispanic,N,15,60-64,Spanish,SANTA ANA,ORANGE,$0 - $0.01,sunonly,FE,0,Partner,1
"$150,000 - $174,999",OWNER,Filipino (Philippine),N,9,45-49,English,IRVINE,ORANGE,$1.00 - $1.99,7day,YM,0,System,1
"$125,000 - $149,999",OWNER,Japanese,Y,38,70-74,Japanese,GARDEN GROVE,ORANGE,$3.00 - $3.99,thu-sun,FM,0,Crew1,0
"$  70,000 - $79,999",RENTER,Vietnamese,N,5,25-29,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,sunonly,YM,0,CircAdm,1
"$  20,000 - $29,999",OWNER,Hispanic,N,30,70-74,English,SANTA ANA,ORANGE,$4.00 - $4.99,7day,YM,0,CustCall,1
"$  30,000 - $39,999",RENTER,French,N,2,35-39,English,SANTA ANA,ORANGE,$1.00 - $1.99,thu-sun,YM,0,Crew,1
"Under $20,000",RENTER,Hispanic,N,1,40-44,Spanish,SANTA ANA,ORANGE,$2.00 - $2.99,7day,FE,0,Partner,1
"Under $20,000",OWNER,English,N,20,75 years or more,English,ANAHEIM,ORANGE,$0 - $0.01,sunonly,FE,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,1,25-29,Spanish,FULLERTON,ORANGE,$1.00 - $1.99,sunonly,FE,0,Partner,1
"$  40,000 - $49,999",RENTER,Irish,Y,1,35-39,English,RANCHO SANTA MARGARITA,ORANGE,$4.00 - $4.99,7day,YW,0,TeleOut,1
"$  30,000 - $39,999",OWNER,Jewish,N,1,30-34,English,SANTA ANA,ORANGE,$0.51 - $0.99,soooooo,MW,0,TeleIn,1
"$  20,000 - $29,999",OWNER,Portuguese,N,19,70-74,English,WESTMINSTER,ORANGE,$0.01 - $0.50,7day,MM,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,24,55-59,English,FOUNTAIN VALLEY,ORANGE,$1.00 - $1.99,sunonly,MM,0,CustCall,1
"$100,000 - $124,999",OWNER,German,N,32,75 years or more,English,FOUNTAIN VALLEY,ORANGE,$8.00 - $8.99,7day,MM,0,CustCall,0
"$100,000 - $124,999",OWNER,Hispanic,N,1,65-69,Spanish,PLACENTIA,ORANGE,$1.00 - $1.99,7day,YW,0,Crew,1
"$  80,000 - $89,999",OWNER,Hispanic,N,13,45-49,Spanish,SANTA ANA,ORANGE,$0 - $0.01,sunonly,MM,0,Partner,1
"$200,000 - $249,999",OWNER,English,Y,2,35-39,English,CORONA,RIVERSIDE,$0.01 - $0.50,sunonly,YW,0,Partner,1
"$100,000 - $124,999",OWNER,Irish,N,3,45-49,English,LAGUNA BEACH,ORANGE,$2.00 - $2.99,thu-sun,YW,0,TeleIn,1
"$150,000 - $174,999",OWNER,Hispanic,N,23,70-74,Spanish,PLACENTIA,ORANGE,$0.01 - $0.50,sunonly,MM,0,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,11,45-49,Spanish,ANAHEIM,ORANGE,$2.00 - $2.99,7day,FE,0,TeleOut,1
"$  20,000 - $29,999",RENTER,English,N,1,24 years or less,English,ANAHEIM,ORANGE,$0.51 - $0.99,thu-sun,YM,0,Email,1
"$  30,000 - $39,999",RENTER,Hispanic,N,5,45-49,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,sunonly,YM,0,Crew1,0
"$  90,000 - $99,999",OWNER,Hispanic,Y,22,55-59,Spanish,BUENA PARK,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"$150,000 - $174,999",OWNER,English,N,5,40-44,English,HUNTINGTON BEACH,ORANGE,$8.00 - $8.99,7day,YM,2,Internet,1
"$200,000 - $249,999",OWNER,English,N,13,60-64,English,VILLA PARK,ORANGE,$0.01 - $0.50,7day,MW,0,CustCall,1
"$  90,000 - $99,999",OWNER,Chinese,Y,3,40-44,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,thu-sun,FM,0,Partner,1
"$  80,000 - $89,999",OWNER,Hispanic,N,12,45-49,English,GARDEN GROVE,ORANGE,$2.00 - $2.99,sunonly,FM,0,CustCall,1
"$  20,000 - $29,999",OWNER,Vietnamese,N,21,70-74,Vietnamese,WESTMINSTER,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$  40,000 - $49,999",OWNER,Vietnamese,N,3,30-34,Vietnamese,ANAHEIM,ORANGE,$0 - $0.01,sunonly,YW,0,CircAdm,1
"$400,000 - $499,999",OWNER,Scottish (Scotch),N,22,60-64,English,HUNTINGTON BEACH,ORANGE,$6.00 - $6.99,7day,MW,2,CustCall,1
"$300,000 - $399,999",OWNER,English,N,23,65-69,English,SANTA ANA,ORANGE,$9.00 - $9.99,7day,YW,0,VRU,1
"$150,000 - $174,999",OWNER,Belgian,N,10,55-59,English,COSTA MESA,ORANGE,$0.01 - $0.50,sunonly,FM,0,Partner,1
"$  40,000 - $49,999",OWNER,Korean,Y,31,65-69,English,SANTA ANA,ORANGE,$4.00 - $4.99,7day,FM,0,DirectMl,0
"$  20,000 - $29,999",OWNER,Hispanic,N,27,75 years or more,Spanish,SANTA ANA,ORANGE,$4.00 - $4.99,7day,YM,0,Crew,1
