HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned
"$  30,000 - $39,999",RENTER,German,N,1,25-29,German,LONG BEACH,LOS ANGELES,$7.00 - $7.99,7day,FM,0,CircAdm,1
"$500,000 Plus",OWNER,unknown,Y,14,50-54,unknown,NEWPORT COAST,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,0
"$100,000 - $124,999",OWNER,Italian,Y,7,45-49,English,IRVINE,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,0
"$200,000 - $249,999",OWNER,English,N,23,55-59,English,LAGUNA NIGUEL,ORANGE,$1.00 - $1.99,sunonly,MW,1,Internet,1
"$  50,000 - $59,999",OWNER,Italian,N,23,60-64,English,RANCHO SANTA MARGARITA,ORANGE,$8.00 - $8.99,thu-sun,MM,0,Crew,0
"$500,000 Plus",OWNER,Scottish (Scotch),Y,10,45-49,English,LADERA RANCH,ORANGE,$0 - $0.01,sunonly,FW,0,Partner,1
"$150,000 - $174,999",OWNER,English,N,4,75 years or more,English,SAN CLEMENTE,ORANGE,$2.00 - $2.99,satsun,YW,0,Crew,1
"$400,000 - $499,999",OWNER,Hispanic,Y,22,45-49,English,RANCHO SANTA MARGARITA,ORANGE,$0.01 - $0.50,sunonly,FW,0,Partner,1
"$175,000 - $199,999",OWNER,Chinese,N,2,45-49,English,IRVINE,ORANGE,$2.00 - $2.99,sunonly,MW,0,Kiosk,1
"$  50,000 - $59,999",OWNER,Irish,N,6,65-69,English,IRVINE,ORANGE,$1.00 - $1.99,7day,FM,1,SCinsert,0
"$125,000 - $149,999",OWNER,English,N,7,50-54,English,LAGUNA NIGUEL,ORANGE,$2.00 - $2.99,sunonly,MM,0,TeleIn,1
"$500,000 Plus",OWNER,German,N,25,55-59,English,LAGUNA NIGUEL,ORANGE,$9.00 - $9.99,7day,MW,0,CustCall,1
"$125,000 - $149,999",OWNER,English,N,23,70-74,English,LAGUNA NIGUEL,ORANGE,$9.00 - $9.99,7dayol,MW,1,Internet,1
"$400,000 - $499,999",OWNER,English,Y,16,50-54,English,BUENA PARK,ORANGE,$2.00 - $2.99,thu-sun,FW,0,TeleIn,1
"$150,000 - $174,999",OWNER,English,N,11,65-69,English,IRVINE,ORANGE,$4.00 - $4.99,7day,YW,0,CustCall,1
"$200,000 - $249,999",OWNER,unknown,N,1,25-29,unknown,LADERA RANCH,ORANGE,$1.00 - $1.99,sunonly,FW,0,TeleIn,1
"Under $20,000",RENTER,English,N,7,25-29,English,IRVINE,ORANGE,$2.00 - $2.99,7day,YM,0,TeleIn,1
"$  80,000 - $89,999",OWNER,Italian,N,7,60-64,English,ALISO VIEJO,ORANGE,$0.51 - $0.99,7day,YM,0,RetenIn,1
"$400,000 - $499,999",OWNER,English,Y,12,40-44,English,LADERA RANCH,ORANGE,$0.51 - $0.99,thu-sun,FW,0,DirectMl,1
"$200,000 - $249,999",OWNER,Irish,N,26,70-74,English,ALISO VIEJO,ORANGE,$0.01 - $0.50,sunonly,YW,0,DirectMl,0
"$400,000 - $499,999",OWNER,Swedish,Y,20,45-49,English,IRVINE,ORANGE,$2.00 - $2.99,7day,MW,0,Partner,1
"$175,000 - $199,999",RENTER,Italian,N,2,60-64,Italian,LADERA RANCH,ORANGE,$7.00 - $7.99,7day,MM,0,TeleOut,1
"$150,000 - $174,999",RENTER,Scottish (Scotch),N,4,55-59,English,LADERA RANCH,ORANGE,$3.00 - $3.99,7day,MM,0,CircAdm,1
"$  90,000 - $99,999",RENTER,English,N,4,75 years or more,English,LADERA RANCH,ORANGE,$0 - $0.01,sunonly,MM,0,Partner,1
"$200,000 - $249,999",RENTER,Filipino (Philippine),N,1,40-44,English,LADERA RANCH,ORANGE,$2.00 - $2.99,sooooos,MM,0,TeleOut,1
"$125,000 - $149,999",RENTER,Jewish,N,3,75 years or more,English,LADERA RANCH,ORANGE,$4.00 - $4.99,7day,MM,0,CustCall,1
"$200,000 - $249,999",OWNER,Scottish (Scotch),N,10,70-74,English,LADERA RANCH,ORANGE,$5.00 - $5.99,7day,MM,2,TeleIn,0
"$300,000 - $399,999",OWNER,Italian,Y,21,50-54,English,RANCHO SANTA MARGARITA,ORANGE,$6.00 - $6.99,7day,FW,0,CustCall,1
"$  20,000 - $29,999",RENTER,Arab,N,6,24 years or less,English,IRVINE,ORANGE,$4.00 - $4.99,7day,YM,0,Crew,1
"$300,000 - $399,999",OWNER,Jewish,Y,4,45-49,English,LAGUNA NIGUEL,ORANGE,$10.00 - $10.99,7day,MW,0,SCinsert,0
"$200,000 - $249,999",OWNER,German,N,15,40-44,English,SAN CLEMENTE,ORANGE,$1.00 - $1.99,sunonly,YW,0,Partner,1
"Under $20,000",OWNER,Irish,N,17,65-69,English,IRVINE,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"$150,000 - $174,999",OWNER,Japanese,Y,27,50-54,English,LAGUNA NIGUEL,ORANGE,$1.00 - $1.99,thu-sun,MW,0,DirectMl,1
"$100,000 - $124,999",OWNER,Chinese,N,30,75 years or more,English,IRVINE,ORANGE,$0.01 - $0.50,thu-sun,MW,0,Partner,1
"$150,000 - $174,999",OWNER,English,N,20,55-59,English,IRVINE,ORANGE,$8.00 - $8.99,7day,MW,0,TeleIn,1
"$150,000 - $174,999",OWNER,Chinese,N,4,35-39,Chinese,IRVINE,ORANGE,$3.00 - $3.99,thu-sun,MW,0,Internet,1
"$100,000 - $124,999",OWNER,Irish,N,13,65-69,English,LAGUNA WOODS,ORANGE,$3.00 - $3.99,7day,MM,0,CustCall,1
"$100,000 - $124,999",OWNER,English,N,19,60-64,English,IRVINE,ORANGE,$4.00 - $4.99,7day,YW,0,CustCall,1
"$  70,000 - $79,999",RENTER,Hispanic,N,9,60-64,Spanish,IRVINE,ORANGE,$3.00 - $3.99,7day,YM,14,CustCall,1
"Under $20,000",RENTER,Scottish (Scotch),N,1,75 years or more,English,IRVINE,ORANGE,$2.00 - $2.99,7day,ME,0,VRU,1
"$  80,000 - $89,999",RENTER,Italian,Y,1,50-54,English,NEWPORT BEACH,ORANGE,$0.01 - $0.50,sunonly,MM,0,Internet,1
"$125,000 - $149,999",OWNER,Italian,Y,2,35-39,English,SAN CLEMENTE,ORANGE,$2.00 - $2.99,satsun,FW,0,CustCall,1
"$150,000 - $174,999",OWNER,Chinese,N,4,40-44,English,LADERA RANCH,ORANGE,$3.00 - $3.99,thu-sun,FW,0,Kiosk1,0
"$125,000 - $149,999",OWNER,English,N,10,55-59,English,IRVINE,ORANGE,$3.00 - $3.99,mon-fri,MW,0,TeleIn,1
"$  30,000 - $39,999",RENTER,Hispanic,N,2,50-54,Spanish,LONG BEACH,LOS ANGELES,$0.51 - $0.99,7day,YM,0,System,1
"$400,000 - $499,999",OWNER,Indian,N,28,55-59,English,IRVINE,ORANGE,$1.00 - $1.99,7day,MW,0,Kiosk,1
"$  30,000 - $39,999",OWNER,German,N,3,35-39,English,LADERA RANCH,ORANGE,$2.00 - $2.99,sunonly,YW,0,Internet,1
"$150,000 - $174,999",OWNER,Vietnamese,Y,7,55-59,Vietnamese,SAN CLEMENTE,ORANGE,$0.01 - $0.50,7day,FW,0,DirectMl,1
"$125,000 - $149,999",OWNER,Hispanic,N,5,35-39,Spanish,RANCHO SANTA MARGARITA,ORANGE,$0 - $0.01,sunonly,FM,0,Partner,1
"$175,000 - $199,999",OWNER,Jewish,N,28,60-64,English,IRVINE,ORANGE,$4.00 - $4.99,7day,YW,0,TeleOut,1
"$150,000 - $174,999",OWNER,Hispanic,N,2,30-34,English,IRVINE,ORANGE,$1.00 - $1.99,7day,YM,0,DirectMl,1
"$300,000 - $399,999",OWNER,Italian,N,24,65-69,English,IRVINE,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,English,N,37,60-64,English,IRVINE,ORANGE,$10.00 - $10.99,7day,MW,0,CustCall,0
"$  90,000 - $99,999",OWNER,Italian,N,7,30-34,English,ALISO VIEJO,ORANGE,$1.00 - $1.99,sunonly,MW,0,Partner,1
"$300,000 - $399,999",OWNER,Chinese,N,29,60-64,Chinese,IRVINE,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"$200,000 - $249,999",OWNER,English,N,24,65-69,English,FOOTHILL RANCH,ORANGE,$3.00 - $3.99,sunonly,FW,0,CustCall,0
"$400,000 - $499,999",OWNER,Hispanic,N,20,50-54,Spanish,TRABUCO CANYON,ORANGE,$0.01 - $0.50,7day,MW,0,Internet,0
"$200,000 - $249,999",OWNER,Italian,Y,13,35-39,English,ALISO VIEJO,ORANGE,$2.00 - $2.99,satsun,YM,0,DirectMl,1
"$175,000 - $199,999",RENTER,English,N,2,45-49,English,LADERA RANCH,ORANGE,$3.00 - $3.99,7day,FW,0,Kiosk1,0
"Under $20,000",OWNER,Scottish (Scotch),N,16,65-69,English,IRVINE,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"$175,000 - $199,999",OWNER,Arab,Y,14,50-54,English,IRVINE,ORANGE,$3.00 - $3.99,soooofs,MW,0,VRU,1
"$400,000 - $499,999",OWNER,Persian,Y,13,45-49,Farsi (Persian),RANCHO SANTA MARGARITA,ORANGE,$2.00 - $2.99,soooooot,FW,0,TeleIn,1
"$125,000 - $149,999",OWNER,French,Y,2,35-39,English,LADERA RANCH,ORANGE,$0.01 - $0.50,7day,FW,0,Chat,0
"$200,000 - $249,999",OWNER,Chinese,N,5,45-49,English,IRVINE,ORANGE,$4.00 - $4.99,7dayt,MW,0,CustCall,1
"$125,000 - $149,999",OWNER,English,Y,24,50-54,English,ALISO VIEJO,ORANGE,$2.00 - $2.99,sunonly,MW,0,CustCall,1
"$100,000 - $124,999",OWNER,Hispanic,N,22,50-54,Spanish,FOOTHILL RANCH,ORANGE,$1.00 - $1.99,sunonly,FM,0,Crew,1
"$200,000 - $249,999",OWNER,French,N,3,35-39,English,ALISO VIEJO,ORANGE,$0.01 - $0.50,7day,FW,0,AdvAdm,1
"$  70,000 - $79,999",OWNER,English,N,17,60-64,English,RANCHO SANTA MARGARITA,ORANGE,$10.00 - $10.99,7day,YM,6,CustCall,1
