Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,Age,Income,is_churned
1,23,0,1,12,32,0,11,0,1,0,6,26,30000,1
0,72,1,14,37,38,1,2,18,5,0,37,53,513408,0
0,33,1,7,7,21,1,2,18,5,0,37,46,124999,0
0,17,0,23,7,28,1,4,18,5,1,27,58,249999,1
0,33,0,23,7,42,1,12,20,4,0,9,62,50000,0
0,55,1,10,7,25,1,1,18,2,0,37,46,750000,1
0,17,0,4,7,43,1,6,7,8,0,9,77,152065,1
0,27,1,22,7,42,1,2,18,2,0,37,48,435236,1
0,11,0,2,7,21,1,6,18,5,0,29,48,199999,1
0,32,0,6,7,21,1,4,0,1,1,43,67,59999,0
0,17,0,7,7,28,1,6,18,4,0,46,51,149999,1
0,23,0,25,7,28,1,13,0,5,0,14,57,500000,1
0,17,0,23,7,28,1,13,1,5,1,27,72,125000,1
0,17,1,16,7,4,1,6,20,2,0,46,51,400000,1
0,17,0,11,7,21,1,8,0,8,0,14,67,150000,1
0,72,0,1,37,25,1,4,18,2,0,46,27,200000,1
1,17,0,7,7,21,1,6,0,7,0,46,28,17047,1
0,33,0,7,7,0,1,3,0,7,0,39,63,80000,1
0,17,1,12,7,25,1,3,20,2,0,18,43,400000,1
0,32,0,26,7,0,1,2,18,8,0,18,73,249999,0
0,60,1,20,7,21,1,6,0,5,0,37,48,499999,1
1,33,0,2,17,25,1,11,0,4,0,47,62,175000,1
1,55,0,4,7,25,1,7,0,4,0,6,58,150000,1
1,17,0,4,7,25,1,1,18,4,0,37,77,90000,1
1,20,0,1,7,25,1,6,12,4,0,47,41,222707,1
1,35,0,3,7,25,1,8,0,4,0,14,78,125000,1
0,55,0,10,7,25,1,9,0,4,2,46,73,210211,0
0,33,1,21,7,42,1,10,0,2,0,14,52,300000,1
1,4,0,6,7,21,1,8,0,7,0,9,20,28997,1
0,35,1,4,7,28,1,5,0,5,0,43,47,399999,0
0,23,0,15,7,43,1,4,18,8,0,37,42,249999,1
