Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,Age,Income,is_churned
0,32,0,17,7,21,1,1,18,7,0,37,66,12289,1
0,34,1,27,7,28,1,4,20,5,0,18,52,174999,1
0,11,0,30,7,21,1,2,20,5,0,37,78,100000,1
0,17,0,20,7,21,1,12,0,5,0,46,55,150000,1
0,11,0,4,3,21,1,7,20,5,0,27,39,173992,1
0,32,0,13,7,29,1,7,0,4,0,14,66,124999,1
0,17,0,19,7,21,1,8,0,8,0,14,63,124999,1
1,27,0,9,30,21,1,7,0,7,14,14,62,70000,1
1,55,0,1,7,21,1,6,0,3,0,48,78,19999,1
1,33,1,1,7,37,1,2,18,4,0,27,51,80000,1
0,33,1,2,7,43,1,6,7,2,0,14,36,146590,1
0,11,0,4,7,25,1,7,20,2,0,30,40,174999,0
0,17,0,10,7,21,1,7,5,5,0,46,58,125000,1
1,27,0,2,30,32,0,3,0,7,0,44,52,30000,1
0,29,0,28,7,21,1,4,0,5,0,29,59,481163,1
0,23,0,3,7,25,1,6,18,8,0,27,38,39999,1
0,67,1,7,36,43,1,2,0,2,0,18,55,150000,1
0,27,0,5,30,42,1,1,18,1,0,37,37,125000,1
0,35,0,28,7,21,1,8,0,8,0,47,61,199999,1
0,27,0,2,7,21,1,4,0,7,0,18,33,174999,1
0,33,0,24,7,21,1,2,18,5,0,37,65,300000,1
0,17,0,37,7,21,1,5,0,5,0,14,61,199999,0
0,33,0,7,7,0,1,4,18,5,0,37,32,90000,1
0,11,0,29,3,21,1,1,18,5,0,37,62,309665,1
0,17,0,24,7,15,1,7,18,2,0,14,68,200000,0
0,27,0,20,30,50,1,2,0,5,0,27,51,499999,0
0,33,1,13,7,0,1,6,7,7,0,18,37,249999,1
1,17,0,2,7,25,1,7,0,2,0,30,47,175000,0
0,55,0,16,7,21,1,1,18,7,0,37,66,19999,1
0,4,1,14,7,21,1,7,8,5,0,48,54,182375,1
0,49,1,13,8,42,1,6,11,2,0,46,47,400000,1
0,22,1,2,7,25,1,2,0,2,0,5,37,149999,0
0,11,0,5,7,21,1,8,2,5,0,14,46,249999,1
0,17,1,24,7,0,1,6,18,5,0,14,51,129478,1
0,27,0,22,30,15,1,4,18,1,0,9,54,118293,1
0,22,0,3,7,0,1,2,0,2,0,0,38,200000,1
0,17,0,17,7,42,1,5,0,7,6,14,63,70000,1
0,35,0,23,7,21,1,1,18,5,0,37,77,95304,0
0,17,1,8,7,0,1,10,0,7,54,14,38,174999,1
0,17,0,15,7,13,1,10,0,5,4,18,57,174999,0
0,72,0,20,37,21,1,10,0,5,0,44,46,102263,1
0,22,0,4,7,42,1,6,18,8,0,29,57,175000,1
0,38,1,8,7,21,1,6,0,5,0,14,68,175000,1
0,17,1,3,7,21,1,4,0,1,0,37,42,174999,1
0,27,0,4,7,27,1,4,3,1,0,14,42,69999,1
0,67,0,11,7,38,1,6,20,8,0,45,54,199999,1
0,32,0,22,7,21,1,2,18,5,0,37,72,70000,1
1,23,0,2,7,21,1,9,0,7,0,48,61,60000,1
0,11,0,2,3,38,1,9,0,2,0,48,35,175000,1
0,22,0,22,7,0,1,5,0,8,0,14,50,175000,1
0,72,0,7,37,15,1,6,20,8,0,6,46,249999,1
1,34,0,4,18,21,1,3,0,1,0,18,51,49999,1
1,27,0,9,30,42,1,6,7,6,0,46,31,17155,1
0,64,0,2,34,42,1,4,0,1,0,6,31,111246,1
0,17,1,19,7,15,1,6,0,2,0,27,53,400000,1
0,35,1,15,7,26,1,8,0,8,0,14,52,399999,1
1,32,0,50,7,32,0,7,0,4,0,9,61,13397,1
0,27,0,14,30,1,1,3,18,8,0,46,46,70000,1
0,27,0,24,30,1,1,2,18,2,0,37,66,175000,1
0,17,1,11,7,26,1,13,0,5,0,14,67,124999,0
0,17,0,3,7,1,1,1,0,5,0,37,33,59999,0
0,33,0,20,7,37,1,8,20,5,0,46,56,583332,0
0,27,0,20,7,1,1,2,18,1,0,37,42,40000,1
0,27,0,17,30,1,1,6,18,3,0,46,47,40000,1
0,67,0,7,36,21,1,8,0,2,0,14,31,175000,1
0,67,0,9,7,45,1,1,18,0,0,37,51,17196,1
1,27,0,16,30,45,1,2,20,0,0,37,34,20000,1
0,17,1,22,7,17,1,4,14,4,0,37,55,124999,1
0,47,0,20,7,22,1,6,20,1,0,43,71,59999,0
1,27,0,5,30,1,1,4,0,0,0,9,22,19424,1
1,17,0,2,7,11,1,4,18,7,0,9,37,100000,1
1,5,0,1,7,11,1,4,18,7,0,14,30,110217,1
1,23,0,6,7,11,1,8,20,5,0,9,76,124999,1
1,27,1,12,7,17,1,2,18,0,0,37,40,20000,1
0,64,0,26,7,20,1,6,0,4,0,18,68,49999,1
0,27,0,14,30,12,1,1,18,1,0,37,63,100000,1
0,27,0,20,7,12,1,6,0,1,3,27,59,70000,1
0,27,1,23,7,18,1,2,18,1,0,37,43,53017,1
0,27,0,4,7,22,1,4,20,5,0,9,58,56814,1
1,55,1,14,7,45,1,7,20,0,0,9,37,124999,1
1,27,0,1,30,22,1,7,14,0,0,9,32,17501,1
0,27,0,13,30,22,1,7,0,7,0,14,79,60000,1
0,27,1,24,30,1,1,2,18,7,0,37,62,39999,1
1,27,0,1,7,45,1,2,18,0,0,10,21,11830,0
0,67,0,25,36,45,1,2,18,5,0,37,62,59999,1
1,27,0,4,7,1,1,1,18,5,0,37,37,32305,1
1,27,0,6,30,45,1,8,0,0,0,9,63,10910,1
1,27,0,2,7,45,1,2,18,0,0,47,28,19999,1
0,27,0,10,30,45,1,2,18,0,0,47,49,59999,1
0,27,0,2,7,9,2,2,18,1,0,37,53,89999,1
1,17,1,4,7,17,1,1,18,1,0,37,34,124999,1
0,67,0,8,7,9,2,2,18,1,0,37,63,100000,1
1,72,0,20,37,22,1,7,20,4,0,46,77,14779,0
0,50,0,16,24,22,1,4,0,0,0,14,78,10000,1
1,27,0,12,30,22,1,1,18,3,0,37,72,16507,1
1,27,0,1,7,45,1,4,19,0,0,14,61,59999,1
0,23,0,1,7,45,1,2,18,3,0,37,33,89999,1
0,51,0,2,7,45,1,6,0,1,0,46,23,40000,1
0,15,0,38,7,11,1,12,0,5,0,46,70,490802,0
0,27,0,11,30,45,1,2,20,1,0,37,47,45918,1
1,22,0,2,7,20,1,8,0,7,0,47,55,79999,1
0,27,1,15,30,45,1,2,18,5,0,37,52,24293,1
0,17,0,18,7,12,1,8,0,5,0,43,72,99999,1
0,17,0,37,7,1,1,7,18,4,1,46,78,95877,1
0,68,0,2,7,3,1,2,0,8,0,0,51,149999,1
1,27,0,9,7,45,1,2,18,0,0,37,57,15426,1
0,55,0,22,7,18,1,9,0,4,0,14,78,10000,1
0,11,0,17,7,53,1,8,0,1,0,29,52,125000,1
0,67,0,8,36,18,1,4,20,7,0,9,46,57799,1
0,27,1,18,7,54,0,4,18,2,0,44,47,174999,1
0,34,0,12,7,54,0,1,18,1,0,37,46,60000,1
0,55,0,23,7,16,1,7,20,1,0,48,56,80000,0
0,20,0,29,7,20,1,3,18,5,0,18,78,100000,1
0,17,0,38,7,20,1,6,7,4,0,14,78,80000,1
0,27,1,17,30,45,1,4,18,7,0,14,51,49999,1
0,27,0,20,30,1,1,1,18,5,0,37,63,79999,1
0,55,0,4,7,11,1,2,18,5,0,37,46,29999,0
1,32,0,1,7,9,2,2,18,7,0,37,26,20000,1
0,22,0,7,7,1,1,5,0,2,8,14,46,105452,0
1,27,0,15,30,45,1,1,18,0,0,37,61,10000,1
0,20,0,9,7,21,1,4,0,7,0,44,47,174999,1
0,34,1,38,18,18,1,7,20,1,0,10,71,125000,0
1,67,0,5,7,20,1,1,18,7,0,6,26,79999,1
0,27,0,30,7,45,1,8,0,7,0,14,71,21606,1
1,22,0,2,7,45,1,4,20,7,0,9,36,39999,1
1,27,0,1,30,45,1,6,0,0,0,37,43,19999,1
0,17,0,20,7,1,1,1,18,0,0,37,76,19999,0
1,27,0,1,30,17,1,4,18,0,0,37,28,10363,1
1,32,1,1,7,42,1,8,0,8,0,47,36,40000,1
0,35,0,1,7,45,1,3,10,5,0,46,31,32190,1
0,51,0,19,7,53,1,2,0,4,0,37,74,20000,0
0,17,0,24,7,16,1,4,18,4,0,14,58,100000,1
0,23,0,32,7,16,1,12,0,4,0,14,77,100000,0
0,27,0,1,30,41,1,4,0,8,0,9,67,124999,1
0,27,0,13,30,45,1,1,18,4,0,37,47,80000,1
0,17,1,2,7,9,2,2,18,8,0,37,38,200000,1
0,32,0,3,7,26,1,6,20,8,0,46,45,124999,1
0,27,0,23,30,41,1,2,18,4,0,37,71,150000,1
1,27,0,11,30,1,1,6,0,0,0,47,46,29999,1
1,17,0,1,7,1,1,3,20,7,0,20,18,29999,1
1,27,0,5,30,1,1,2,18,7,0,10,48,33129,0
0,27,1,22,30,4,1,1,18,5,0,37,58,99999,1
0,17,0,5,7,20,1,12,0,7,2,27,42,174999,1
0,17,0,13,7,52,1,2,0,5,0,14,60,246921,1
0,11,1,3,7,16,1,2,20,1,0,37,42,99999,1
0,27,0,12,7,18,1,6,18,1,0,14,47,89999,1
0,67,0,21,36,53,1,2,18,5,0,37,74,22528,1
0,67,0,3,36,1,1,1,18,8,0,6,31,49999,1
0,55,0,22,7,20,1,10,0,5,2,14,62,400000,1
0,17,0,23,7,45,1,13,0,8,0,48,68,399999,1
0,7,0,10,7,11,1,2,18,1,0,37,57,150000,1
0,38,1,31,7,45,1,8,0,1,0,18,67,49999,0
0,27,0,27,30,45,1,8,0,7,0,9,78,28690,1
0,33,0,31,7,20,1,3,20,5,0,27,78,80000,0
0,33,0,1,7,41,1,1,18,2,0,37,56,174999,1
0,50,0,7,7,21,1,6,3,7,0,29,33,125000,1
0,27,0,19,7,45,1,8,0,0,0,46,43,80000,1
0,27,0,20,30,41,1,7,20,4,0,37,78,19999,1
0,17,0,18,7,40,1,7,14,8,0,46,76,10246,1
0,55,1,20,7,1,1,6,20,8,0,44,41,500000,1
0,11,0,7,3,40,1,8,0,4,0,46,47,90000,1
1,72,0,2,37,0,1,6,18,5,0,14,57,79999,1
1,33,0,6,17,45,1,2,0,0,0,9,32,14290,0
0,17,0,5,7,20,1,6,18,7,0,9,32,90000,1
0,17,0,1,7,45,1,4,18,4,0,46,47,30000,1
1,27,0,8,30,45,1,8,0,0,0,9,27,14611,1
0,17,0,1,7,1,1,6,0,8,0,14,31,124999,1
1,17,0,6,7,9,2,1,18,6,0,37,42,19999,1
0,15,0,1,7,18,1,8,0,4,0,14,47,89999,1
0,27,1,17,30,1,1,2,18,1,0,37,42,99999,1
0,17,0,20,7,52,1,1,18,5,0,37,57,100000,1
0,50,0,41,24,20,1,5,0,5,5,14,71,109739,0
0,72,0,48,37,18,1,11,0,5,0,14,76,105978,0
0,17,0,37,7,18,1,7,18,5,0,14,68,155222,0
0,67,0,6,7,18,1,7,20,1,0,10,52,40000,0
1,17,0,1,7,21,1,2,18,8,0,37,23,11500,1
0,27,1,17,30,22,1,6,20,4,0,47,57,40000,1
0,67,0,5,36,18,1,7,20,0,0,10,52,49999,0
0,17,0,31,7,40,1,5,0,1,0,14,67,149999,0
0,17,0,55,7,17,1,9,0,4,0,18,79,175000,0
0,10,0,10,27,1,1,6,20,1,0,47,54,49999,1
0,35,0,7,7,17,1,8,0,5,0,9,38,59999,1
0,67,0,10,36,18,1,1,18,0,0,37,72,10977,1
0,32,1,20,7,20,1,7,0,5,3,40,53,300000,0
0,67,0,10,36,53,1,1,18,4,0,37,48,11597,1
0,27,0,10,30,45,1,6,21,0,0,46,47,40000,1
0,72,0,5,37,17,1,4,20,4,0,46,33,86914,1
1,22,0,9,7,9,2,1,18,0,0,37,42,10000,1
0,27,1,21,30,45,1,2,18,0,0,37,41,20000,0
1,11,0,1,7,16,1,8,0,7,0,9,34,49999,1
0,68,0,7,7,40,1,4,18,1,0,14,28,43351,1
0,27,0,7,7,9,2,2,18,0,0,37,48,90000,1
1,27,0,15,30,45,1,2,18,0,0,37,47,30000,1
0,13,1,17,7,26,1,4,18,2,0,14,52,125000,0
0,27,1,17,30,9,2,2,18,0,0,37,48,30000,1
1,27,0,6,7,1,1,4,14,0,0,9,32,16171,1
0,27,1,12,30,45,1,1,18,0,0,29,40,149999,1
1,27,0,6,30,54,0,7,0,0,0,9,26,20000,1
0,17,1,27,7,20,1,8,2,5,0,46,73,60000,1
0,27,1,6,30,18,1,2,18,7,0,37,71,40000,1
0,67,0,17,36,18,1,4,10,4,0,9,57,49999,1
0,63,1,22,7,1,1,7,20,1,0,9,58,79714,1
0,27,1,15,30,1,1,4,18,1,0,46,32,39999,1
0,38,0,15,7,17,1,7,20,4,0,10,61,70000,1
1,51,0,10,25,45,1,4,0,0,0,6,19,29999,1
0,27,1,20,30,45,1,2,18,0,0,37,61,10748,1
0,27,1,21,7,18,1,3,18,1,0,46,53,149999,1
1,23,0,1,7,45,1,7,6,1,0,47,32,60000,1
0,20,0,14,7,1,1,2,18,2,0,37,63,100000,1
0,55,1,12,7,26,1,4,14,8,0,9,80,150000,1
0,55,0,38,7,45,1,3,2,5,0,14,72,450904,1
0,27,0,18,7,12,1,9,0,3,0,14,52,125000,1
0,27,0,27,30,45,1,4,18,0,0,37,52,19999,1
0,67,0,18,36,53,1,1,20,5,0,6,58,174999,1
1,27,0,1,30,1,1,10,0,1,0,46,31,37493,0
1,17,0,10,7,32,0,2,18,7,0,37,42,20000,1
0,17,1,7,7,17,1,6,0,5,0,6,36,15553,1
0,17,0,22,7,18,1,7,0,4,0,37,58,90000,1
0,23,0,16,7,12,1,1,18,4,0,37,55,69999,0
0,15,0,23,7,16,1,6,20,5,0,44,46,124999,0
1,55,0,3,7,32,0,2,20,0,0,9,26,13211,1
0,23,0,6,7,41,1,8,0,1,0,14,29,124999,1
0,27,0,21,30,45,1,2,18,0,0,37,46,20000,1
0,17,1,19,7,17,1,4,18,5,0,43,51,116786,1
0,33,0,37,7,1,1,2,18,5,0,37,66,121545,1
0,17,0,4,7,1,1,1,18,8,0,37,33,90000,1
0,17,0,40,7,3,1,8,0,5,0,46,72,124999,0
1,32,0,2,7,20,1,2,18,1,0,37,27,40000,1
1,27,1,6,7,45,1,4,0,7,0,9,34,29999,1
1,67,0,8,36,21,1,4,0,7,0,46,77,10000,1
0,32,0,32,7,22,1,2,20,4,0,27,67,175000,0
0,27,0,23,30,1,1,6,20,7,0,9,71,124999,1
0,32,0,22,7,17,1,7,18,4,0,14,78,60166,0
1,67,0,12,36,53,1,4,0,4,0,46,67,30000,1
1,17,0,8,7,53,1,8,4,3,0,14,56,79999,1
1,67,0,4,36,53,1,6,19,4,0,46,66,11482,1
0,27,0,19,7,53,1,8,0,4,0,14,77,69999,1
1,17,0,2,7,18,1,6,0,3,0,14,77,12329,1
0,35,1,8,14,12,1,1,0,5,0,6,43,133482,1
0,17,1,17,7,20,1,4,20,1,0,9,43,70000,1
0,27,0,15,30,12,1,1,18,5,0,37,46,99999,1
0,11,1,19,3,18,1,4,18,7,0,46,57,60000,1
0,27,1,16,30,1,1,2,18,4,0,37,46,70000,0
0,67,0,9,36,53,1,8,0,1,0,14,41,100000,1
0,66,0,23,7,45,1,9,12,2,0,46,51,500000,1
0,55,1,20,7,51,1,6,0,2,2,46,47,300000,1
0,68,1,25,7,22,1,2,18,1,0,37,56,90000,1
0,27,0,7,7,40,1,2,20,1,0,10,66,59999,1
0,27,1,13,30,45,1,6,0,7,0,29,43,40000,1
0,50,1,2,7,1,1,2,18,2,0,37,44,524918,1
0,27,0,17,30,45,1,1,18,1,0,37,53,10000,1
0,27,0,17,30,45,1,6,20,1,0,47,54,10000,1
0,27,0,17,30,45,1,6,0,1,0,46,52,19999,1
1,27,0,9,7,45,1,8,0,0,0,9,47,18341,1
0,27,1,13,30,12,1,1,18,1,0,37,47,90000,1
0,67,0,8,36,20,1,6,0,5,0,46,52,100000,1
0,68,0,30,7,16,1,1,18,5,0,37,63,90000,1
1,67,0,11,7,18,1,4,20,3,0,45,47,69999,1
1,15,0,2,7,45,1,2,0,5,0,9,51,19999,1
0,17,0,34,7,41,1,8,0,4,0,14,78,29999,1
1,27,0,7,7,45,1,3,0,3,0,46,27,59588,1
0,27,0,15,30,45,1,2,18,1,0,37,48,19999,1
0,67,0,9,7,18,1,2,18,7,0,37,37,30000,1
1,67,0,18,36,18,1,2,18,0,0,37,28,49999,1
0,67,0,22,36,18,1,2,18,4,2,37,74,36673,1
0,0,1,33,7,4,1,8,0,5,0,14,27,69999,1
0,27,0,5,30,52,1,2,18,8,0,27,76,124999,0
1,55,0,3,7,18,1,6,7,4,0,39,37,25918,1
0,17,0,8,7,16,1,2,18,1,0,18,47,80000,1
0,27,0,8,30,32,0,8,0,5,0,9,46,59999,1
0,23,0,32,7,22,1,5,0,4,0,14,77,45114,0
0,55,0,15,7,11,1,2,0,4,0,0,62,100000,1
1,27,0,5,30,1,1,8,0,1,0,37,37,20000,1
0,27,1,13,30,3,1,1,18,1,0,37,48,100000,1
0,33,0,14,7,20,1,1,18,4,0,37,57,16465,0
0,14,1,7,7,12,1,11,0,1,0,9,61,69999,1
0,17,0,5,7,12,1,2,18,4,0,37,32,59999,1
0,67,0,26,36,53,1,1,18,4,0,37,46,70000,1
1,27,1,10,30,18,1,8,0,7,0,9,37,19999,1
0,29,0,29,15,4,1,7,0,5,0,14,56,60096,0
0,17,1,16,7,20,1,2,18,5,0,37,42,124999,1
0,35,0,43,7,17,1,5,0,1,26,14,77,124999,0
0,35,1,21,7,17,1,7,20,8,0,9,48,199999,1
0,23,0,46,7,17,1,2,18,4,0,37,78,145724,0
1,17,0,1,7,40,1,1,18,0,0,37,33,29999,1
0,72,0,2,37,1,1,9,14,2,0,39,52,175000,1
1,27,0,8,30,45,1,7,20,0,0,33,68,19999,1
1,27,0,11,30,49,1,7,20,0,0,30,58,19416,1
1,17,0,5,7,49,1,2,18,0,0,37,23,12028,1
1,17,1,3,7,16,1,8,0,7,0,9,47,79999,1
1,27,0,13,7,49,1,4,0,0,0,9,34,14433,1
1,33,0,1,17,49,1,6,18,0,0,9,32,13140,1
1,68,0,1,7,49,1,4,0,0,0,9,22,19655,1
1,27,0,1,30,49,1,2,18,0,0,10,37,14502,0
1,33,0,1,7,49,1,7,20,0,0,30,19,18611,1
0,67,0,17,36,53,1,1,18,1,0,37,61,150000,1
0,32,1,18,7,53,1,1,18,1,0,37,51,79999,1
0,17,1,12,7,20,1,1,18,5,0,37,51,98802,1
1,27,1,4,7,45,1,2,18,0,0,37,37,14883,1
1,27,0,2,7,1,1,8,0,3,0,18,31,13424,1
1,27,0,1,30,1,1,7,10,0,0,46,21,13908,1
0,11,0,2,3,12,1,1,18,5,0,37,37,70203,1
0,4,0,1,7,12,1,6,18,1,0,9,63,90642,1
0,17,0,29,7,18,1,8,0,4,2,46,60,70000,1
0,32,0,26,7,52,1,2,18,2,0,37,78,398044,0
0,72,0,25,37,49,1,6,18,1,0,46,63,40000,1
0,17,0,20,7,12,1,6,0,4,0,6,57,86088,1
1,15,0,2,7,16,1,3,20,7,0,14,32,39999,1
1,67,1,9,36,18,1,2,18,7,0,37,46,29999,1
0,17,0,3,7,40,1,6,20,8,0,46,37,129853,1
0,17,0,10,7,1,1,1,18,4,0,37,32,50000,1
0,27,0,16,30,45,1,1,18,0,0,37,43,99999,1
0,17,0,15,7,16,1,7,20,4,0,14,61,99999,1
0,67,0,6,36,53,1,2,18,5,0,37,33,79999,1
0,67,0,20,36,18,1,4,0,5,0,37,53,39999,1
0,27,0,19,30,49,1,1,18,5,0,37,63,69999,1
1,51,0,1,25,11,1,1,18,7,0,37,44,49999,0
0,32,1,20,7,43,1,6,10,1,0,14,47,313681,1
1,33,1,6,17,32,0,1,18,3,0,37,47,19999,0
1,27,0,12,30,1,1,4,20,0,0,47,55,10000,1
0,27,0,19,7,11,1,2,0,5,0,6,46,124999,1
0,32,0,41,7,49,1,1,18,1,0,37,78,10000,1
0,67,0,19,36,1,1,6,20,1,0,9,71,10000,1
0,17,0,2,7,12,1,1,18,7,0,37,23,59999,1
0,27,0,20,30,1,1,2,18,1,0,37,63,40000,1
0,17,1,6,7,20,1,1,18,1,0,37,47,23798,0
0,33,0,18,17,20,1,4,0,5,0,39,64,400000,1
1,27,0,2,7,16,1,2,18,7,0,10,36,40000,0
0,17,1,11,7,17,1,8,0,8,0,46,70,59999,0
0,55,1,17,7,18,1,4,18,5,0,9,46,125000,1
0,23,1,38,7,20,1,8,0,1,0,14,77,175000,1
0,67,0,12,36,53,1,2,18,4,0,37,52,124999,1
0,67,1,9,36,18,1,2,18,5,0,37,72,32009,1
0,67,0,21,7,53,1,6,20,5,0,9,47,106995,1
0,72,0,40,37,43,1,4,0,5,0,14,73,300000,1
1,34,0,4,7,21,1,4,18,7,0,14,21,29999,1
1,27,0,8,7,43,1,8,0,6,0,18,47,50000,1
0,49,0,23,7,21,1,2,18,5,0,37,77,49999,1
0,17,0,23,7,39,2,2,18,1,0,37,77,99999,1
0,0,0,12,7,32,0,1,18,4,0,6,56,60000,1
1,27,0,6,30,45,1,7,20,3,0,9,46,19999,1
1,27,0,7,30,45,1,4,0,0,0,6,42,39999,1
1,22,0,7,7,45,1,4,18,1,0,44,47,12547,1
1,27,0,14,30,1,1,6,20,3,0,9,47,11033,1
0,7,0,2,7,49,1,4,18,1,0,39,37,69999,1
0,35,0,6,7,16,1,8,0,5,0,44,53,300000,0
1,60,0,3,7,16,1,4,18,7,0,27,47,49999,0
1,17,0,1,7,21,1,11,0,8,0,9,27,60000,1
0,72,0,1,37,21,1,7,20,8,0,10,69,49999,1
0,17,0,2,7,1,1,6,18,1,0,14,63,89999,1
0,27,0,16,7,1,1,4,18,2,0,37,58,400000,1
0,27,0,28,30,45,1,1,18,0,0,37,77,20000,1
0,27,0,22,7,16,1,5,0,5,62,48,57,125000,0
0,27,1,11,30,49,1,1,18,5,0,37,42,100000,1
0,20,0,13,7,4,1,6,3,5,0,39,75,19999,1
1,17,0,1,7,1,1,4,18,0,0,37,44,19999,1
0,33,1,15,7,12,1,2,18,5,0,37,75,149999,1
0,17,0,6,7,20,1,8,0,1,0,9,56,89999,1
0,68,1,37,7,40,1,9,0,5,0,46,67,399999,0
0,27,1,14,30,9,2,1,18,0,0,37,56,39999,1
1,27,0,6,30,45,1,2,18,0,0,9,42,11749,0
1,27,0,1,30,45,1,2,18,4,0,9,21,16581,0
0,27,0,20,30,45,1,6,7,7,0,9,32,143676,1
0,27,0,38,7,12,1,2,18,4,0,37,61,124999,0
0,17,1,19,7,52,1,13,0,2,0,48,57,300000,1
0,34,0,21,7,49,1,4,20,4,0,18,52,90000,1
0,68,0,38,7,54,0,7,0,5,0,14,78,149999,1
1,27,0,2,30,41,1,2,18,0,0,47,28,10000,1
0,72,0,52,37,40,1,8,0,1,0,9,76,59999,1
0,27,1,18,7,9,2,4,0,0,0,9,49,49740,1
0,17,0,20,7,33,1,2,18,5,0,27,61,89999,0
0,27,0,37,7,18,1,2,20,5,1,46,62,123900,0
0,27,0,32,30,45,1,2,18,0,0,37,68,30000,1
0,17,1,48,7,18,1,5,0,1,0,48,57,100000,0
1,55,0,1,7,16,1,8,0,7,0,46,27,40000,1
0,50,0,52,7,4,1,4,0,4,13,14,80,70000,0
0,45,0,42,7,16,1,2,18,7,0,43,77,79999,1
0,23,0,28,7,41,1,2,18,4,0,18,79,70000,1
0,67,0,15,36,18,1,2,18,7,0,37,57,79999,1
1,51,0,2,25,18,1,6,7,5,0,14,31,19322,1
1,17,0,4,7,18,1,8,0,4,0,14,52,19567,1
0,11,1,16,3,12,1,11,14,1,0,14,51,124999,1
0,17,0,21,7,18,1,1,18,5,0,37,56,13560,0
0,67,0,2,36,12,1,4,14,1,0,46,33,69999,1
0,72,0,17,37,4,1,2,18,7,0,37,56,60000,1
1,27,0,1,7,49,1,6,3,1,0,14,22,11930,1
0,68,0,7,7,16,1,6,18,7,0,18,41,59999,1
0,34,0,5,7,11,1,8,0,5,0,14,27,89999,1
0,27,0,8,7,1,1,2,0,1,0,6,41,30000,0
1,27,0,8,30,45,1,3,18,0,0,47,21,20000,1
1,27,0,3,30,49,1,1,18,5,0,37,43,29999,0
0,72,0,10,37,33,1,2,18,5,0,37,58,100000,0
0,60,0,5,7,49,1,3,20,4,0,9,29,43084,1
0,33,0,20,7,20,1,2,20,4,0,37,58,59999,1
0,17,0,32,7,18,1,4,18,5,0,18,63,89999,1
0,55,0,20,7,49,1,8,0,1,0,39,57,90000,1
0,17,0,37,7,3,1,7,0,8,0,46,80,89999,0
0,27,0,4,30,22,1,1,18,8,0,37,56,89999,1
0,60,0,27,7,37,1,4,0,5,2,46,72,500000,1
0,55,0,21,7,41,1,9,20,8,0,44,54,150000,1
1,27,0,12,7,45,1,7,0,0,0,46,79,99999,0
0,67,0,1,36,49,1,1,18,4,0,37,31,40000,0
0,67,0,35,36,1,1,4,0,4,0,46,57,59999,1
0,14,0,38,7,40,1,11,0,5,0,46,78,231161,1
1,72,0,3,37,54,0,2,0,4,0,6,80,15511,1
0,17,0,4,7,16,1,2,18,1,0,37,38,100000,1
0,4,0,41,1,16,1,7,0,5,5,14,72,109727,0
1,22,0,4,7,37,1,6,20,4,0,46,71,40000,1
0,11,0,39,7,1,1,1,18,1,0,37,77,40000,1
0,70,0,2,7,41,1,5,0,4,0,14,68,90675,1
0,17,0,4,7,1,1,4,20,1,0,9,39,99999,1
1,72,0,2,37,49,1,8,0,7,0,46,62,27386,1
0,17,1,33,7,49,1,4,18,1,0,29,67,49999,1
1,27,0,6,30,18,1,4,18,0,0,47,47,19999,1
0,38,0,22,20,16,1,2,18,5,0,37,79,99508,1
