Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned,Age,Income
RENTER,German,0,1,German,LONG BEACH,LOS ANGELES,$7.00 - $7.99,7Day,FM,0,CircAdm,1,29,39999
OWNER,unknown,1,14,Unknown,NEWPORT COAST,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,0,52,500000
OWNER,Italian,1,7,English,IRVINE,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,0,46,124999
OWNER,English,0,23,English,LAGUNA NIGUEL,ORANGE,$1.00 - $1.99,SunOnly,MW,1,Internet,1,56,249999
OWNER,Italian,0,23,English,RANCHO SANTA MARGARITA,ORANGE,$8.00 - $8.99,Thu-Sun,MM,0,Crew,0,60,59999
OWNER,Scottish (Scotch),1,10,English,LADERA RANCH,ORANGE,$0 - $0.01,SunOnly,FW,0,Partner,1,47,637423
OWNER,English,0,4,English,SAN CLEMENTE,ORANGE,$2.00 - $2.99,SatSun,YW,0,Crew,1,76,150000
OWNER,Hispanic,1,22,English,RANCHO SANTA MARGARITA,ORANGE,$0.01 - $0.50,SunOnly,FW,0,Partner,1,46,400000
OWNER,Chinese,0,2,English,IRVINE,ORANGE,$2.00 - $2.99,SunOnly,MW,0,Kiosk,1,47,175000
OWNER,Irish,0,6,English,IRVINE,ORANGE,$1.00 - $1.99,7Day,FM,1,SCinsert,0,67,50000
OWNER,English,0,7,English,LAGUNA NIGUEL,ORANGE,$2.00 - $2.99,SunOnly,MM,0,TeleIn,1,54,125000
OWNER,German,0,25,English,LAGUNA NIGUEL,ORANGE,$9.00 - $9.99,7Day,MW,0,CustCall,1,56,750000
OWNER,English,0,23,English,LAGUNA NIGUEL,ORANGE,$9.00 - $9.99,7DayOL,MW,1,Internet,1,71,125000
OWNER,English,1,16,English,BUENA PARK,ORANGE,$2.00 - $2.99,Thu-Sun,FW,0,TeleIn,1,54,499999
OWNER,English,0,11,English,IRVINE,ORANGE,$4.00 - $4.99,7Day,YW,0,CustCall,1,67,150000
OWNER,unknown,0,1,Unknown,LADERA RANCH,ORANGE,$1.00 - $1.99,SunOnly,FW,0,TeleIn,1,26,249999
RENTER,English,0,7,English,IRVINE,ORANGE,$2.00 - $2.99,7Day,YM,0,TeleIn,1,25,10368
OWNER,Italian,0,7,English,ALISO VIEJO,ORANGE,$0.51 - $0.99,7Day,YM,0,RetenIn,1,61,80000
OWNER,English,1,12,English,LADERA RANCH,ORANGE,$0.51 - $0.99,Thu-Sun,FW,0,DirectMl,1,43,499999
OWNER,Irish,0,26,English,ALISO VIEJO,ORANGE,$0.01 - $0.50,SunOnly,YW,0,DirectMl,0,71,200000
OWNER,Swedish,1,20,English,IRVINE,ORANGE,$2.00 - $2.99,7Day,MW,0,Partner,1,47,499999
RENTER,Italian,0,2,Italian,LADERA RANCH,ORANGE,$7.00 - $7.99,7Day,MM,0,TeleOut,1,62,175000
RENTER,Scottish (Scotch),0,4,English,LADERA RANCH,ORANGE,$3.00 - $3.99,7Day,MM,0,CircAdm,1,56,174999
RENTER,English,0,4,English,LADERA RANCH,ORANGE,$0 - $0.01,SunOnly,MM,0,Partner,1,80,90000
RENTER,Filipino (Philippine),0,1,English,LADERA RANCH,ORANGE,$2.00 - $2.99,SoooooS,MM,0,TeleOut,1,42,232180
RENTER,Jewish,0,3,English,LADERA RANCH,ORANGE,$4.00 - $4.99,7Day,MM,0,CustCall,1,79,149999
OWNER,Scottish (Scotch),0,10,English,LADERA RANCH,ORANGE,$5.00 - $5.99,7Day,MM,2,TeleIn,0,72,249999
OWNER,Italian,1,21,English,RANCHO SANTA MARGARITA,ORANGE,$6.00 - $6.99,7Day,FW,0,CustCall,1,52,379469
RENTER,Arab,0,6,English,IRVINE,ORANGE,$4.00 - $4.99,7Day,YM,0,Crew,1,22,20000
OWNER,Jewish,1,4,English,LAGUNA NIGUEL,ORANGE,$10.00 - $10.99,7Day,MW,0,SCinsert,0,47,399999
OWNER,German,0,15,English,SAN CLEMENTE,ORANGE,$1.00 - $1.99,SunOnly,YW,0,Partner,1,40,237077
OWNER,Irish,0,17,English,IRVINE,ORANGE,$0 - $0.01,SunOnly,YM,0,Partner,1,68,16563
OWNER,Japanese,1,27,English,LAGUNA NIGUEL,ORANGE,$1.00 - $1.99,Thu-Sun,MW,0,DirectMl,1,53,150610
OWNER,Chinese,0,30,English,IRVINE,ORANGE,$0.01 - $0.50,Thu-Sun,MW,0,Partner,1,78,104945
OWNER,English,0,20,English,IRVINE,ORANGE,$8.00 - $8.99,7Day,MW,0,TeleIn,1,57,150000
OWNER,Chinese,0,4,Chinese,IRVINE,ORANGE,$3.00 - $3.99,Thu-Sun,MW,0,Internet,1,37,164988
OWNER,Irish,0,13,English,LAGUNA WOODS,ORANGE,$3.00 - $3.99,7Day,MM,0,CustCall,1,69,100000
OWNER,English,0,19,English,IRVINE,ORANGE,$4.00 - $4.99,7Day,YW,0,CustCall,1,63,100000
RENTER,Hispanic,0,9,Spanish,IRVINE,ORANGE,$3.00 - $3.99,7Day,YM,14,CustCall,1,63,79999
RENTER,Scottish (Scotch),0,1,English,IRVINE,ORANGE,$2.00 - $2.99,7Day,ME,0,VRU,1,76,17651
RENTER,Italian,1,1,English,NEWPORT BEACH,ORANGE,$0.01 - $0.50,SunOnly,MM,0,Internet,1,52,80000
OWNER,Italian,1,2,English,SAN CLEMENTE,ORANGE,$2.00 - $2.99,SatSun,FW,0,CustCall,1,37,149999
OWNER,Chinese,0,4,English,LADERA RANCH,ORANGE,$3.00 - $3.99,Thu-Sun,FW,0,Kiosk1,0,42,174999
OWNER,English,0,10,English,IRVINE,ORANGE,$3.00 - $3.99,Mon-Fri,MW,0,TeleIn,1,57,132919
RENTER,Hispanic,0,2,Spanish,LONG BEACH,LOS ANGELES,$0.51 - $0.99,7Day,YM,0,System,1,51,39999
OWNER,Indian,0,28,English,IRVINE,ORANGE,$1.00 - $1.99,7Day,MW,0,Kiosk,1,57,499999
OWNER,German,0,3,English,LADERA RANCH,ORANGE,$2.00 - $2.99,SunOnly,YW,0,Internet,1,36,30000
OWNER,Vietnamese,1,7,Vietnamese,SAN CLEMENTE,ORANGE,$0.01 - $0.50,7Day,FW,0,DirectMl,1,56,150000
OWNER,Hispanic,0,5,Spanish,RANCHO SANTA MARGARITA,ORANGE,$0 - $0.01,SunOnly,FM,0,Partner,1,36,125000
OWNER,Jewish,0,28,English,IRVINE,ORANGE,$4.00 - $4.99,7Day,YW,0,TeleOut,1,64,199999
OWNER,Hispanic,0,2,English,IRVINE,ORANGE,$1.00 - $1.99,7Day,YM,0,DirectMl,1,34,150000
OWNER,Italian,0,24,English,IRVINE,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,1,68,340611
OWNER,English,0,37,English,IRVINE,ORANGE,$10.00 - $10.99,7Day,MW,0,CustCall,0,63,175000
OWNER,Italian,0,7,English,ALISO VIEJO,ORANGE,$1.00 - $1.99,SunOnly,MW,0,Partner,1,32,99999
OWNER,Chinese,0,29,Chinese,IRVINE,ORANGE,$0 - $0.01,SunOnly,MW,0,Partner,1,62,300000
OWNER,English,0,24,English,FOOTHILL RANCH,ORANGE,$3.00 - $3.99,SunOnly,FW,0,CustCall,0,66,200000
OWNER,Hispanic,0,20,Spanish,TRABUCO CANYON,ORANGE,$0.01 - $0.50,7Day,MW,0,Internet,0,51,499999
OWNER,Italian,1,13,English,ALISO VIEJO,ORANGE,$2.00 - $2.99,SatSun,YM,0,DirectMl,1,38,249999
RENTER,English,0,2,English,LADERA RANCH,ORANGE,$3.00 - $3.99,7Day,FW,0,Kiosk1,0,47,175000
OWNER,Scottish (Scotch),0,16,English,IRVINE,ORANGE,$0 - $0.01,SunOnly,YM,0,Partner,1,68,10000
OWNER,Arab,1,14,English,IRVINE,ORANGE,$3.00 - $3.99,SooooFS,MW,0,VRU,1,54,199999
OWNER,Persian,1,13,Farsi (Persian),RANCHO SANTA MARGARITA,ORANGE,$2.00 - $2.99,SooooooT,FW,0,TeleIn,1,47,493786
OWNER,French,1,2,English,LADERA RANCH,ORANGE,$0.01 - $0.50,7Day,FW,0,Chat,0,37,125000
OWNER,Chinese,0,5,English,IRVINE,ORANGE,$4.00 - $4.99,7DayT,MW,0,CustCall,1,46,200000
OWNER,English,1,24,English,ALISO VIEJO,ORANGE,$2.00 - $2.99,SunOnly,MW,0,CustCall,1,52,149999
OWNER,Hispanic,0,22,Spanish,FOOTHILL RANCH,ORANGE,$1.00 - $1.99,SunOnly,FM,0,Crew,1,54,121764
OWNER,French,0,3,English,ALISO VIEJO,ORANGE,$0.01 - $0.50,7Day,FW,0,AdvAdm,1,38,200000
OWNER,English,0,17,English,RANCHO SANTA MARGARITA,ORANGE,$10.00 - $10.99,7Day,YM,6,CustCall,1,61,70000
OWNER,Jewish,0,23,English,IRVINE,ORANGE,$0 - $0.01,SunOnly,MW,0,Partner,0,78,99999
