Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned,Age,Income
OWNER,English,1,8,English,ALISO VIEJO,ORANGE,$6.00 - $6.99,7Day,YM,54,CustCall,1,39,150000
OWNER,English,0,15,English,DANA POINT,ORANGE,$6.00 - $6.99,7Day,MW,4,DirectMl,0,59,150000
OWNER,unknown,0,20,Unknown,IRVINE,ORANGE,$6.00 - $6.99,7Day,MW,0,System,1,46,100000
OWNER,French,0,4,English,RANCHO SANTA MARGARITA,ORANGE,$2.00 - $2.99,SunOnly,YW,0,Kiosk,1,55,199999
OWNER,Korean,1,8,English,IRVINE,ORANGE,$2.00 - $2.99,7Day,MW,0,CustCall,1,66,199999
OWNER,English,1,3,English,IRVINE,ORANGE,$1.00 - $1.99,7Day,FM,0,Partner,1,40,174999
OWNER,Hispanic,0,4,English,LAGUNA HILLS,ORANGE,$1.00 - $1.99,Fri-Sun,FM,0,CustCall,1,44,69999
OWNER,Vietnamese,0,11,English,NEWPORT COAST,ORANGE,$2.00 - $2.99,Thu-Sun,YW,0,TMC,1,51,199999
OWNER,Irish,0,22,English,IRVINE,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,1,71,79999
RENTER,German,0,2,English,IRVINE,ORANGE,$5.00 - $5.99,7Day,YM,0,VRU,1,61,60000
OWNER,Chinese,0,2,Chinese,NEWPORT COAST,ORANGE,$5.00 - $5.99,7Day,FW,0,VRU,1,36,175000
OWNER,French,0,22,English,ALISO VIEJO,ORANGE,$10.00 - $10.99,7Day,YW,0,CustCall,1,53,175000
OWNER,unknown,0,7,Unknown,FOOTHILL RANCH,ORANGE,$2.00 - $2.99,Thu-Sun,YW,0,CircAdm,1,47,222355
RENTER,Japanese,0,4,Japanese,IRVINE,ORANGE,$0.51 - $0.99,7Day,FM,0,DirectMl,1,51,48422
RENTER,Hispanic,0,9,Spanish,RANCHO SANTA MARGARITA,ORANGE,$2.00 - $2.99,SatSun,YE,0,TeleIn,1,32,19999
OWNER,Turkish,0,2,Turkish,RANCHO SANTA MARGARITA,ORANGE,$1.00 - $1.99,7Day,FM,0,CircAdm,1,31,124999
OWNER,English,1,19,English,FOOTHILL RANCH,ORANGE,$2.00 - $2.99,7Day,FW,0,Internet,1,51,428351
OWNER,Jewish,1,15,English,LAGUNA BEACH,ORANGE,$4.00 - $4.99,7Day,YW,0,CustCall,1,53,391972
RENTER,Irish,0,50,English,LONG BEACH,LOS ANGELES,$3.00 - $3.99,7Day,MM,0,Crew,1,61,13169
OWNER,Hispanic,0,14,Spanish,ANAHEIM,ORANGE,$0.51 - $0.99,SunOnly,YW,0,TeleIn,1,49,70000
OWNER,Hispanic,0,24,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,SunOnly,FW,0,Partner,1,67,175000
OWNER,English,1,11,English,LAGUNA BEACH,ORANGE,$9.00 - $9.99,7Day,MW,0,CustCall,0,66,124999
OWNER,English,0,3,English,ANAHEIM,ORANGE,$0 - $0.01,7Day,MW,0,Partner,0,31,50000
OWNER,Italian,0,20,English,NEWPORT BEACH,ORANGE,$4.00 - $4.99,Thu-Sun,MW,0,TeleIn,0,57,750000
OWNER,Hispanic,0,20,English,ANAHEIM,ORANGE,$0.01 - $0.50,SunOnly,FM,0,Partner,1,43,49999
OWNER,Hispanic,0,17,Spanish,ANAHEIM,ORANGE,$2.00 - $2.99,SunOnly,ME,0,TeleIn,1,47,40000
OWNER,Vietnamese,0,7,Vietnamese,IRVINE,ORANGE,$4.00 - $4.99,7Day,FW,0,CustCall,1,32,185348
OWNER,Vietnamese,0,9,English,SANTA ANA,ORANGE,$0 - $0.01,SunOnly,FE,0,Partner,1,54,18368
RENTER,Hispanic,0,16,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,Thu-Sun,FE,0,Partner,1,31,29999
OWNER,English,1,22,English,FULLERTON,ORANGE,$1.00 - $1.99,SoooTFS,MM,0,Partner,1,56,100000
OWNER,Norwegian,0,20,English,LA HABRA,ORANGE,$2.00 - $2.99,Thu-Sun,FM,0,SCinsert,0,72,59999
RENTER,Hispanic,0,5,Spanish,ANAHEIM,ORANGE,$1.00 - $1.99,7Day,FE,0,Crew,1,19,10000
RENTER,English,0,2,English,COSTA MESA,ORANGE,$1.00 - $1.99,SunOnly,YM,0,Crew,1,38,100000
RENTER,Armenian,0,1,English,COSTA MESA,ORANGE,$1.00 - $1.99,SunOnly,YM,0,CustCall,1,33,100000
RENTER,German,0,6,English,COSTA MESA,ORANGE,$4.00 - $4.99,Thu-Sun,MW,0,Crew,1,76,124999
RENTER,Hispanic,1,12,English,FULLERTON,ORANGE,$0.01 - $0.50,SunOnly,FE,0,Partner,1,42,20000
OWNER,Turkish,0,26,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,7Day,MM,0,DirectMl,1,67,46404
OWNER,Hispanic,0,14,Spanish,CYPRESS,ORANGE,$0 - $0.01,SunOnly,FM,0,Partner,1,61,100000
OWNER,Hispanic,0,20,English,CYPRESS,ORANGE,$2.00 - $2.99,7Day,FM,3,Internet,1,58,73962
OWNER,Hispanic,1,23,English,GARDEN GROVE,ORANGE,$0.01 - $0.50,SunOnly,FM,0,Partner,1,41,59999
OWNER,Hispanic,0,4,English,LA HABRA,ORANGE,$1.00 - $1.99,Thu-Sun,MW,0,Crew,1,56,50000
RENTER,Scottish (Scotch),1,14,English,SANTA ANA,ORANGE,$3.00 - $3.99,Thu-Sun,FE,0,Crew,1,36,110992
RENTER,Hispanic,0,1,Spanish,LA HABRA,ORANGE,$3.00 - $3.99,SoooTFS,FE,0,Crew,1,32,12240
OWNER,Hispanic,0,13,Spanish,LA HABRA,ORANGE,$3.00 - $3.99,7Day,YM,0,CustCall,1,77,69999
OWNER,Hispanic,1,24,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,SunOnly,YM,0,Partner,1,62,39999
RENTER,Hispanic,0,1,English,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,FE,0,Crew1,0,20,10000
OWNER,Vietnamese,0,25,Vietnamese,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,1,63,59999
RENTER,Hispanic,0,4,English,ANAHEIM,ORANGE,$0 - $0.01,SunOnly,MW,0,Partner,1,37,30000
RENTER,Hispanic,0,6,Spanish,SANTA ANA,ORANGE,$4.00 - $4.99,7Day,FE,0,Crew,1,61,16035
RENTER,Hispanic,0,2,English,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,FE,0,TeleOut,1,29,19999
OWNER,Hispanic,0,10,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,FE,0,TeleOut,1,48,50000
OWNER,Hispanic,0,2,English,CORONA,RIVERSIDE,$0.01 - $0.50,SunOnly,FM,0,Partner,1,53,89999
RENTER,English,1,4,English,FULLERTON,ORANGE,$0 - $0.01,SunOnly,FM,0,Partner,1,32,124999
OWNER,Vietnamese,0,8,English,CORONA,RIVERSIDE,$0.01 - $0.50,SunOnly,FM,0,Partner,1,62,124999
RENTER,unknown,0,20,Unknown,LA HABRA,ORANGE,$3.00 - $3.99,Thu-Sun,MM,0,TeleIn,0,78,19999
OWNER,Polish,0,16,Polish,LA HABRA,ORANGE,$1.00 - $1.99,7Day,FE,0,CustCall,1,79,10000
RENTER,Hispanic,0,12,Spanish,LA HABRA,ORANGE,$0 - $0.01,SunOnly,ME,0,Partner,1,73,10254
RENTER,Hispanic,0,1,English,SANTA ANA,ORANGE,$1.00 - $1.99,SunOnlyT,FE,0,CustCall,1,60,59999
OWNER,German,0,1,English,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,ME,0,Partner,1,32,89999
OWNER,Portuguese,0,2,English,SANTA ANA,ORANGE,$2.00 - $2.99,7Day,FM,0,TeleIn,1,20,40000
OWNER,Dutch,0,38,English,COSTA MESA,ORANGE,$8.00 - $8.99,7Day,MW,0,TeleIn,0,72,499999
OWNER,Hispanic,0,11,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,Thu-Sun,FM,0,Partner,1,47,40000
RENTER,French,0,2,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7Day,YM,0,TeleOut,1,57,70000
OWNER,Hispanic,1,15,Spanish,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,1,53,20549
OWNER,English,0,18,English,CYPRESS,ORANGE,$4.00 - $4.99,7Day,MW,0,SCinsert,1,72,99999
OWNER,English,0,37,English,ANAHEIM,ORANGE,$3.00 - $3.99,SunOnly,MM,1,TeleIn,1,79,90000
OWNER,Welsh,0,2,English,BREA,ORANGE,$0.01 - $0.50,7Day,YW,0,AdvAdm,1,52,125000
RENTER,Hispanic,0,9,English,SANTA ANA,ORANGE,$0.01 - $0.50,SunOnly,FE,0,Partner,1,57,19050
OWNER,Scottish (Scotch),0,22,English,GARDEN GROVE,ORANGE,$5.00 - $5.99,7Day,MM,0,CustCall,1,77,19999
OWNER,Chinese,0,17,English,WESTMINSTER,ORANGE,$4.00 - $4.99,7Day,FM,0,Kiosk,1,50,149999
OWNER,Vietnamese,0,8,Vietnamese,GARDEN GROVE,ORANGE,$1.00 - $1.99,Thu-Sun,YM,0,Crew,1,49,59999
OWNER,Hispanic,1,18,English,WHITTIER,LOS ANGELES,$1.00 - $1.99,SunOnly,FW,0,System,1,47,174999
OWNER,Japanese,0,12,English,WHITTIER,LOS ANGELES,$0 - $0.01,SunOnly,FM,0,Partner,1,47,69999
OWNER,Scottish (Scotch),0,23,English,FOUNTAIN VALLEY,ORANGE,$3.00 - $3.99,Thu-Sun,FM,0,VRU,0,57,89999
OWNER,Filipino (Philippine),0,29,English,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,SunOnly,MW,0,DirectMl,1,78,124999
OWNER,English,0,38,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,SatSun,MM,0,CustCall,1,78,80000
OWNER,Hispanic,1,17,Spanish,SANTA ANA,ORANGE,$1.00 - $1.99,SunOnly,YM,0,CustCall,1,52,49999
OWNER,Hispanic,0,20,Spanish,ANAHEIM,ORANGE,$0 - $0.01,SunOnly,MW,0,Partner,1,62,70000
OWNER,Scottish (Scotch),0,4,English,COSTA MESA,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,0,46,20000
RENTER,Irish,0,1,English,CORONA,RIVERSIDE,$0.01 - $0.50,SunOnly,YM,0,Partner,1,28,26989
OWNER,French,0,7,English,ANAHEIM,ORANGE,$10.00 - $10.99,7Day,FW,8,CustCall,0,47,124999
RENTER,Hispanic,0,15,Spanish,SANTA ANA,ORANGE,$0 - $0.01,SunOnly,FE,0,Partner,1,63,14304
OWNER,Filipino (Philippine),0,9,English,IRVINE,ORANGE,$1.00 - $1.99,7Day,YM,0,System,1,48,174999
OWNER,Japanese,1,38,Japanese,GARDEN GROVE,ORANGE,$3.00 - $3.99,Thu-Sun,FM,0,Crew1,0,70,137387
RENTER,Vietnamese,0,5,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,SunOnly,YM,0,CircAdm,1,27,72474
OWNER,Hispanic,0,30,English,SANTA ANA,ORANGE,$4.00 - $4.99,7Day,YM,0,CustCall,1,73,20000
RENTER,French,0,2,English,SANTA ANA,ORANGE,$1.00 - $1.99,Thu-Sun,YM,0,Crew,1,36,39999
RENTER,Hispanic,0,1,Spanish,SANTA ANA,ORANGE,$2.00 - $2.99,7Day,FE,0,Partner,1,43,12712
OWNER,English,0,20,English,ANAHEIM,ORANGE,$0 - $0.01,SunOnly,FE,0,Partner,0,79,13074
RENTER,Hispanic,0,1,Spanish,FULLERTON,ORANGE,$1.00 - $1.99,SunOnly,FE,0,Partner,1,27,11357
RENTER,Irish,1,1,English,RANCHO SANTA MARGARITA,ORANGE,$4.00 - $4.99,7Day,YW,0,TeleOut,1,36,40176
OWNER,Jewish,0,1,English,SANTA ANA,ORANGE,$0.51 - $0.99,Soooooo,MW,0,TeleIn,1,31,30000
OWNER,Portuguese,0,19,English,WESTMINSTER,ORANGE,$0.01 - $0.50,7Day,MM,0,Partner,0,71,20379
OWNER,English,0,24,English,FOUNTAIN VALLEY,ORANGE,$1.00 - $1.99,SunOnly,MM,0,CustCall,1,56,100000
OWNER,German,0,32,English,FOUNTAIN VALLEY,ORANGE,$8.00 - $8.99,7Day,MM,0,CustCall,0,75,124999
OWNER,Hispanic,0,1,Spanish,PLACENTIA,ORANGE,$1.00 - $1.99,7Day,YW,0,Crew,1,65,100000
OWNER,Hispanic,0,13,Spanish,SANTA ANA,ORANGE,$0 - $0.01,SunOnly,MM,0,Partner,1,48,89999
OWNER,English,1,2,English,CORONA,RIVERSIDE,$0.01 - $0.50,SunOnly,YW,0,Partner,1,35,249999
OWNER,Irish,0,3,English,LAGUNA BEACH,ORANGE,$2.00 - $2.99,Thu-Sun,YW,0,TeleIn,1,48,100000
OWNER,Hispanic,0,23,Spanish,PLACENTIA,ORANGE,$0.01 - $0.50,SunOnly,MM,0,Partner,1,72,174999
RENTER,Hispanic,0,11,Spanish,ANAHEIM,ORANGE,$2.00 - $2.99,7Day,FE,0,TeleOut,1,48,20000
RENTER,English,0,1,English,ANAHEIM,ORANGE,$0.51 - $0.99,Thu-Sun,YM,0,Email,1,23,20000
RENTER,Hispanic,0,5,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,SunOnly,YM,0,Crew1,0,46,39999
OWNER,Hispanic,1,22,Spanish,BUENA PARK,ORANGE,$0 - $0.01,SunOnly,MW,0,Partner,1,57,99999
OWNER,English,0,5,English,HUNTINGTON BEACH,ORANGE,$8.00 - $8.99,7Day,YM,2,Internet,1,41,174999
OWNER,English,0,13,English,VILLA PARK,ORANGE,$0.01 - $0.50,7Day,MW,0,CustCall,1,62,217958
OWNER,Chinese,1,3,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,Thu-Sun,FM,0,Partner,1,42,99999
OWNER,Hispanic,0,12,English,GARDEN GROVE,ORANGE,$2.00 - $2.99,SunOnly,FM,0,CustCall,1,47,81094
OWNER,Vietnamese,0,21,Vietnamese,WESTMINSTER,ORANGE,$0.01 - $0.50,SunOnly,MW,0,Partner,1,72,25220
OWNER,Vietnamese,0,3,Vietnamese,ANAHEIM,ORANGE,$0 - $0.01,SunOnly,YW,0,CircAdm,1,33,40000
OWNER,Scottish (Scotch),0,22,English,HUNTINGTON BEACH,ORANGE,$6.00 - $6.99,7Day,MW,2,CustCall,1,61,499999
OWNER,English,0,23,English,SANTA ANA,ORANGE,$9.00 - $9.99,7Day,YW,0,VRU,1,68,355447
OWNER,Belgian,0,10,English,COSTA MESA,ORANGE,$0.01 - $0.50,SunOnly,FM,0,Partner,1,56,174999
OWNER,Korean,1,31,English,SANTA ANA,ORANGE,$4.00 - $4.99,7Day,FM,0,DirectMl,0,65,44287
OWNER,Hispanic,0,27,Spanish,SANTA ANA,ORANGE,$4.00 - $4.99,7Day,YM,0,Crew,1,77,20000
OWNER,Italian,0,31,English,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,Thu-Sun,MW,0,Internet,0,78,87691
OWNER,Italian,0,1,English,PLACENTIA,ORANGE,$0 - $0.01,SunOnly,FW,0,Partner,1,59,159927
OWNER,Polish,0,7,English,IRVINE,ORANGE,$2.00 - $2.99,Fri-Sun,YM,0,Kiosk,1,33,149999
OWNER,Hispanic,0,19,English,SANTA ANA,ORANGE,$4.00 - $4.99,7Day,FE,0,TeleIn,1,42,80000
OWNER,Hispanic,0,20,Spanish,PLACENTIA,ORANGE,$3.00 - $3.99,Thu-Sun,MM,0,Partner,1,79,19999
OWNER,English,0,18,English,ORANGE,ORANGE,$3.00 - $3.99,SoooTFS,YW,0,TeleIn,1,78,19999
OWNER,Scottish (Scotch),1,20,English,ANAHEIM,ORANGE,$2.00 - $2.99,Thu-Sun,YW,0,System,1,43,699896
OWNER,Chinese,0,7,Chinese,ORANGE,ORANGE,$4.00 - $4.99,7Day,MM,0,TeleIn,1,46,90000
RENTER,unknown,0,2,Unknown,ALISO VIEJO,ORANGE,$2.00 - $2.99,SunOnly,MW,0,CustCall,1,58,70000
RENTER,Italian,0,6,Italian,SANTA ANA,ORANGE,$0.01 - $0.50,7Day,FE,0,Crew,0,32,13165
OWNER,English,0,5,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,SunOnly,YM,0,Crew,1,31,90000
OWNER,English,0,1,English,SANTA ANA,ORANGE,$1.00 - $1.99,SunOnly,MM,0,TeleIn,1,46,39999
RENTER,Hispanic,0,8,Spanish,SANTA ANA,ORANGE,$4.00 - $4.99,7Day,FE,0,Crew,1,26,10000
OWNER,English,0,1,English,ANAHEIM,ORANGE,$2.00 - $2.99,7Day,YW,0,CustCall,1,32,104549
RENTER,English,0,6,English,CORONA,RIVERSIDE,$0 - $0.01,SunOnly,YE,0,Partner,1,43,13625
OWNER,Dutch,0,1,English,GARDEN GROVE,ORANGE,$4.00 - $4.99,7Day,MM,0,CustCall,1,47,86740
OWNER,Hispanic,1,17,Spanish,ANAHEIM,ORANGE,$0.01 - $0.50,SunOnly,FM,0,Partner,1,42,90000
OWNER,English,0,20,English,VILLA PARK,ORANGE,$0 - $0.01,SunOnly,MW,0,Partner,1,57,100000
OWNER,Polish,0,41,Polish,HUNTINGTON BEACH,ORANGE,$10.00 - $10.99,7Day,MW,5,CustCall,0,71,124999
OWNER,unknown,0,48,Unknown,GARDEN GROVE,ORANGE,$7.00 - $7.99,7Day,MW,0,CustCall,0,77,100000
OWNER,English,0,37,English,GARDEN GROVE,ORANGE,$3.00 - $3.99,SunOnly,MW,0,CustCall,0,68,174999
OWNER,Vietnamese,0,6,English,GARDEN GROVE,ORANGE,$3.00 - $3.99,Thu-Sun,FM,0,Crew1,0,50,49999
RENTER,English,0,1,English,IRVINE,ORANGE,$0.01 - $0.50,SunOnly,YW,0,Partner,1,21,13169
OWNER,Hispanic,1,17,Spanish,LA HABRA,ORANGE,$2.00 - $2.99,Thu-Sun,MM,0,TeleOut,1,56,49999
OWNER,Vietnamese,0,5,Vietnamese,GARDEN GROVE,ORANGE,$3.00 - $3.99,Thu-Sun,FE,0,Crew1,0,53,49999
OWNER,English,0,31,English,ORANGE,ORANGE,$10.00 - $10.99,7Day,FM,0,CustCall,0,67,149999
OWNER,English,0,55,English,FULLERTON,ORANGE,$5.00 - $5.99,7Day,MM,0,DirectMl,0,78,199999
OWNER,Byelorussian (Belarusian),0,10,Russian,ANAHEIM,ORANGE,$2.00 - $2.99,Thu-Sun,FM,0,TeleOut,1,51,40000
OWNER,Jewish,0,7,English,FULLERTON,ORANGE,$4.00 - $4.99,7Day,MW,0,Crew,1,35,50000
